name,url
60 Degrees Pharmaceuticals,https://www.drugs.com/manufacturer/60-degrees-pharmaceuticals-llc-628.html
A-S Medication Solutions,https://www.drugs.com/manufacturer/a-s-medication-solutions-llc-255.html
A&Z Pharmaceutical,https://www.drugs.com/manufacturer/a-z-pharmaceutical-inc-468.html
Abbott Laboratories,https://www.drugs.com/manufacturer/abbott-laboratories-2.html
AbbVie,https://www.drugs.com/manufacturer/abbvie-inc-482.html
Acadia Pharmaceuticals,https://www.drugs.com/manufacturer/acadia-pharmaceuticals-inc-569.html
Accord Healthcare,https://www.drugs.com/manufacturer/accord-healthcare-inc-251.html
Accredo Health Group,https://www.drugs.com/manufacturer/accredo-health-group-inc-3.html
Acella Pharmaceuticals,https://www.drugs.com/manufacturer/acella-pharmaceuticals-llc-263.html
Acerus Pharmaceuticals Corporation,https://www.drugs.com/manufacturer/acerus-pharmaceuticals-corporation-502.html
Aclaris Therapeutics,https://www.drugs.com/manufacturer/aclaris-therapeutics-inc-615.html
Acorda Therapeutics,https://www.drugs.com/manufacturer/acorda-therapeutics-inc-4.html
Actavis Pharma,https://www.drugs.com/manufacturer/actavis-pharma-inc-5.html
Actelion Pharmaceuticals US,https://www.drugs.com/manufacturer/actelion-pharmaceuticals-us-inc-365.html
Acura Pharmaceuticals,https://www.drugs.com/manufacturer/acura-pharmaceuticals-inc-6.html
Adamas Pharmaceuticals,https://www.drugs.com/manufacturer/adamas-pharmaceuticals-inc-606.html
Adamis Pharmaceuticals Corporation,https://www.drugs.com/manufacturer/adamis-pharmaceuticals-corporation-599.html
Adolor Corporation,https://www.drugs.com/manufacturer/adolor-corporation-9.html
Advance Pharmaceutical,https://www.drugs.com/manufacturer/advance-pharmaceutical-inc-439.html
Aegerion Pharmaceuticals,https://www.drugs.com/manufacturer/aegerion-pharmaceuticals-inc-585.html
Aerie Pharmaceuticals,https://www.drugs.com/manufacturer/aerie-pharmaceuticals-inc-616.html
Aeterna Zentaris,https://www.drugs.com/manufacturer/aeterna-zentaris-inc-620.html
Agenus,https://www.drugs.com/manufacturer/agenus-inc-21.html
Agios Pharmaceuticals,https://www.drugs.com/manufacturer/agios-pharmaceuticals-inc-627.html
Ajanta Pharma USA,https://www.drugs.com/manufacturer/ajanta-pharma-usa-inc-648.html
Akorn,https://www.drugs.com/manufacturer/akorn-inc-11.html
Akrimax Pharmaceuticals,https://www.drugs.com/manufacturer/akrimax-pharmaceuticals-llc-349.html
Alaven Pharmaceuticals,https://www.drugs.com/manufacturer/alaven-pharmaceuticals-344.html
Alcon Laboratories,https://www.drugs.com/manufacturer/alcon-laboratories-inc-12.html
Alexion Pharmaceuticals,https://www.drugs.com/manufacturer/alexion-pharmaceuticals-inc-535.html
Alkermes,https://www.drugs.com/manufacturer/alkermes-inc-174.html
Allegis Pharmaceuticals,https://www.drugs.com/manufacturer/allegis-pharmaceuticals-llc-341.html
Allergan,https://www.drugs.com/manufacturer/allergan-plc-14.html
Alliance Pharma,https://www.drugs.com/manufacturer/alliance-pharma-plc-15.html
Almirall,https://www.drugs.com/manufacturer/almirall-llc-404.html
Alnylam Pharmaceuticals,https://www.drugs.com/manufacturer/alnylam-pharmaceuticals-inc-629.html
Alvogen,https://www.drugs.com/manufacturer/alvogen-inc-361.html
AMAG Pharmaceuticals,https://www.drugs.com/manufacturer/amag-pharmaceuticals-inc-17.html
American Regent,https://www.drugs.com/manufacturer/american-regent-inc-525.html
Amgen,https://www.drugs.com/manufacturer/amgen-inc-18.html
