,Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website,url
0,1(B2/2021)-5(B1/2021),101245486,VIC,"Số 7, Đường Bằng Lăng 1, KĐT Sinh Thái Vinhome Riverside - Phường Việt Hưng - Quận Long Biên - TP. Hà Nội",024-39749999,024-39748888,info@vingroup.net,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIC
1,8(B1/2021),100150619,BID,"Tháp BIDV, số 35 Hàng Vôi - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội",024-22205544,024-22200399,info@bidv.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BID
2,7(B1/2021),100107370,PLX,1 Khâm Thiên - Phường Khâm Thiên - Quận Đống Đa - TP. Hà Nội,024-38512603,024-38519203,banbientapweb@petrolimex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLX
3,4(B2/2021)-13(B1/2021),900189284,HPG,KCN Phố Nối A - Xã Giai Phạm - Huyện Yên Mỹ - Tỉnh Hưng Yên,024-62848666,024-62833456,prm@hoaphat.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HPG
4,14(B1/2021),100112437,VCB,198 Trần Quang Khải - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội,024-39343137,024-38252980,,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCB
5,12(B1/2021),100111948,CTG,108 Trần Hưng Đạo - Phường Cửa Nam - Quận Hoàn Kiếm - TP. Hà Nội,024-39421030,024-39421032,contact@vietinbank.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTG
6,2(B2/2021)-9(B1/2021),306731335,MWG,"Lô T2-1.2 đường D1, Khu Công Nghệ Cao, Phường Tân Phú, Quận 9, TP.HCM",028-38125960,028-38125961,investor@thegioididong.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MWG
7,5(B2/2021)-15(B1/2021),303576603,MSN,"Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62563862,028-38274115,investorrelation@masangroup.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSN
8,24(B1/2021),100111761,BVH,Số 72 phố Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội,024-39289898 / 39289999,024-39289609 / 39289610,service@baoviet.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BVH
9,17(B1/2021),3500102710,GAS,Tòa nhà PVGas Tower - 673 Nguyễn Hữu Thọ - Xã Phước Kiến - Huyện Nhà Bè - TP. Hồ Chí Minh,028-37816777,028-37815666,pvgas@pvgas.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GAS
10,6(B2/2021)-18(B1/2021),3600252847,THA,"Tòa nhà SOFIC, số 10 Mai Chí Thọ - Phường Thủ Thiêm - Quận 2 - TP. Hồ Chí Minh",028-39977824/25/26,028-39977742,rep-office@thaco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THA
11,7(B2/2021)-19(B1/2021),100233583,VPB,Số 89 Láng Hạ - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-39288869,024-39288867,customercare@vpb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VPB
12,8(B2/2021)-20(B1/2021),300588569,VNM,Số 10 Tân Trào - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54155555,028-54161226,vinamilk@vinamilk.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VNM
13,9(B2/2021)-22(B1/2021),311449990,SCB,19-21-23-25 Nguyễn Huệ - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-22228686,028-99225888,scb.ttth@scb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCB
14,12(B2/2021)-29(B1/2021),301103908,STB,266-268 Nam Kỳ Khởi Nghĩa - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-39320420,028-39320424,ask@sacombank.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=STB
15,11(B2/2021)-28(B1/2021),100230800,TCB,"Tòa tháp Techcombank, Số 191 Bà Triệu - Phường Lê Đại Hành - Quận Hai Bà Trưng - TP. Hà Nội",024-39446368,024-39446395,ho@techcombank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCB
16,26(B1/2021),100107518,HVN,200 Nguyễn Sơn - Phường Bồ Đề - Quận Long Biên - TP. Hà Nội,024-38320320,024-38722375,vanthu.corp@vietnamair.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HVN
17,23(B1/2021),100283873,MBB,"Tòa nhà MB, Số 18 Lê Văn Lương - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",024-62661088,024-62661080,info@mbbank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MBB
18,30(B1/2021),3502208399,PGV,"Số 60-66 Nguyễn Cơ Thạch, Khu đô thị Sala - Phường An Lợi Đông - Quận 2 - TP. Hồ Chí Minh",028-36367449,028-36367450,genco3@genco3.evn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGV
19,14(B2/2021)-34(B1/2021),301452948,ACB,442 Nguyễn Thị Minh Khai - Phường 05 - Quận 3 - TP. Hồ Chí Minh,028-39290999,028-38399885,acb@acb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACB
