Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
6(B1/2021),0100686174,Chưa niêm yết,Số 2 Láng Hạ - Phường Thành Công - Quận Ba Đình - TP. Hà Nội,024-38313733,024-38313709,,
1(B2/2021)-5(B1/2021),0101245486,VIC,"Số 7, Đường Bằng Lăng 1, KĐT Sinh Thái Vinhome Riverside - Phường Việt Hưng - Quận Long Biên - TP. Hà Nội",024-39749999,024-39748888,info@vingroup.net,
4(B1/2021),0100109106,Chưa niêm yết,Lô D26 Khu đô thị mới Cầu Giấy - Phường Yên Hoà - Quận Cầu Giấy - TP. Hà Nội,024-62556789,024-62996789,gopy@viettel.com.vn,
8(B1/2021),0100150619,BID,"Tháp BIDV, số 35 Hàng Vôi - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội",024-22205544,024-22200399,info@bidv.com.vn,
7(B1/2021),0100107370,PLX,1 Khâm Thiên - Phường Khâm Thiên - Quận Đống Đa - TP. Hà Nội,024-38512603,024-38519203,banbientapweb@petrolimex.com.vn,
2(B1/2021),0100100079,Chưa niêm yết,11 Cửa Bắc - Phường Trúc Bạch - Quận Ba Đình - TP. Hà Nội,024-66946789,024-66946666,banbientapwebevn.eic@evn.com.vn,
3(B1/2021),0100681592,Chưa niêm yết,18 Láng Hạ - Phường Thành Công - Quận Ba Ðình - TP. Hà Nôi,024-38252526,024-38265942,petrovietnam@pvn.vn,
1(B1/2021),4601124536,Chưa niêm yết,KCN Yên Bình - Phường Đồng Tiến - Thị xã Phổ Yên - Tỉnh Thái Nguyên,0208-3576666,,samsungofficalvietnam@gmail.com,
4(B2/2021)-13(B1/2021),0900189284,HPG,KCN Phố Nối A - Xã Giai Phạm - Huyện Yên Mỹ - Tỉnh Hưng Yên,024-62848666,024-62833456,prm@hoaphat.com.vn,
14(B1/2021),0100112437,VCB,198 Trần Quang Khải - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội,024-39343137,024-38252980,,
3(B2/2021)-11(B1/2021),0100365621,Chưa niêm yết,5 Lê Duẩn - Phường Điện Biên - Quận Ba Đình - TP. Hà Nội,024-22206688,024-22206686,info@doji.vn,
12(B1/2021),0100111948,CTG,108 Trần Hưng Đạo - Phường Cửa Nam - Quận Hoàn Kiếm - TP. Hà Nội,024-39421030,024-39421032,contact@vietinbank.vn,
2(B2/2021)-9(B1/2021),0306731335,MWG,"Lô T2-1.2 đường D1, Khu Công Nghệ Cao, Phường Tân Phú, Quận 9, TP.HCM",028-38125960,028-38125961,investor@thegioididong.com,
5(B2/2021)-15(B1/2021),0303576603,MSN,"Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62563862,028-38274115,investorrelation@masangroup.com,
16(B1/2021),3600224423,Chưa niêm yết,Số 2 đường 2A - KCN Biên Hòa II - Phường Long Bình Tân - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3836251,0251-3836086,cpvina@cp.com.vn,
10(B1/2021),5700100256,Chưa niêm yết,226 Lê Duẩn - Phường Trung Phụng - Quận Đống Đa - TP. Hà Nội,024-35180400 / 35180141,024-38510724,info@vinacomin.vn,
21(B1/2021),0100684378,Chưa niêm yết,"Tòa nhà VNPT, Số 57 Huỳnh Thúc Kháng - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội",024-37741091,024-37741093,vanphong@vnpt.vn,
24(B1/2021),0100111761,BVH,Số 72 phố Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội,024-39289898 / 39289999,024-39289609 / 39289610,service@baoviet.com.vn,
17(B1/2021),3500102710,GAS,Tòa nhà PVGas Tower - 673 Nguyễn Hữu Thọ - Xã Phước Kiến - Huyện Nhà Bè - TP. Hồ Chí Minh,028-37816777,028-37815666,pvgas@pvgas.com.vn,
6(B2/2021)-18(B1/2021),3600252847,THA,"Tòa nhà SOFIC, số 10 Mai Chí Thọ - Phường Thủ Thiêm - Quận 2 - TP. Hồ Chí Minh",028-39977824/25/26,028-39977742,rep-office@thaco.com.vn,
7(B2/2021)-19(B1/2021),0100233583,VPB,Số 89 Láng Hạ - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-39288869,024-39288867,customercare@vpb.com.vn,
8(B2/2021)-20(B1/2021),0300588569,VNM,Số 10 Tân Trào - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54155555,028-54161226,vinamilk@vinamilk.com.vn,
9(B2/2021)-22(B1/2021),0311449990,SCB,19-21-23-25 Nguyễn Huệ - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-22228686,028-99225888,scb.ttth@scb.com.vn,
27(B1/2021),0106869738,Chưa niêm yết,"Tầng 7, VNPT Tower, 57 Huỳnh Thúc Kháng - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội",024-33992288,024-33992299,vanphong@vinaphone.vn,
10(B2/2021)-25(B1/2021),0100831174,Chưa niêm yết,CN1 - KCN  Nguyên Khê - Xã Nguyên Khê - Huyện Đông Anh - TP. Hà Nội,024-39680949,024-39680950,,
12(B2/2021)-29(B1/2021),0301103908,STB,266-268 Nam Kỳ Khởi Nghĩa - Phường Võ Thị Sáu - Quận 3 - TP. Hồ Chí Minh,028-39320420,028-39320424,ask@sacombank.com,
11(B2/2021)-28(B1/2021),0100230800,TCB,"Tòa tháp Techcombank, Số 191 Bà Triệu - Phường Lê Đại Hành - Quận Hai Bà Trưng - TP. Hà Nội",024-39446368,024-39446395,ho@techcombank.com.vn,
26(B1/2021),0100107518,HVN,200 Nguyễn Sơn - Phường Bồ Đề - Quận Long Biên - TP. Hà Nội,024-38320320,024-38722375,vanthu.corp@vietnamair.com.vn,
23(B1/2021),0100283873,MBB,"Tòa nhà MB, Số 18 Lê Văn Lương - Phường Trung Hòa - Quận Cầu Giấy - TP. Hà Nội",024-62661088,024-62661080,info@mbbank.com.vn,
30(B1/2021),3502208399,PGV,"Số 60-66 Nguyễn Cơ Thạch, Khu đô thị Sala - Phường An Lợi Đông - Quận 2 - TP. Hồ Chí Minh",028-36367449,028-36367450,genco3@genco3.evn.vn,
31(B1/2021),5701662152,Chưa niêm yết,Số 11 phố Cửa Bắc - Phường Trúc Bạch - Quận Ba Đình - TP. Hà Nội,024-66941234,024-66941345,bbt@evngenco1.vn,
13(B2/2021)-33(B1/2021),0304421306,Chưa niêm yết,61 Nguyễn Văn Giai - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38201998,028-38201997,intimexhcm@intimexhcm.com,
32(B1/2021),0304295429,Chưa niêm yết,Lô 12 KCN Cao Đường D1 - Phường Tân Phú - Quận 9 - TP. Hồ Chí Minh,028-37363672,028-37363001,thanh.thao.t.tran@intel.com,
35(B1/2021),0102641429,Chưa niêm yết,Tầng 37-Tòa nhà Keangnam-Đường Phạm Hùng-TP. Hà Nội,024-62517777,024-35770958,baovietnhantho@baoviet.com.vn,
14(B2/2021)-34(B1/2021),0301452948,ACB,442 Nguyễn Thị Minh Khai - Phường 05 - Quận 3 - TP. Hồ Chí Minh,028-39290999,028-38399885,acb@acb.com.vn,
36(B1/2021),0301840443,Chưa niêm yết,"Tầng 25, Tòa nhà Saigon Trade Center, 37 Tôn Đức Thắng - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39101660,028-39100899,customer.service@prudential.com.vn,
38(B1/2021),0301175691,Chưa niêm yết,199-205 Nguyễn Thái Học-Phường Phạm Ngũ Lão-Quận 1-TP. Hồ Chí Minh,028-38360143,028-38370560,sgcoop@saigonco-op.com.vn,
39(B1/2021),0300762150,Chưa niêm yết,156 Nguyễn Lương Bằng - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,028-54135686,028-54135626,bui-thu.huong@unilever.com,
15(B2/2021)-37(B1/2021),1800278630,SHB,77 Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội,024-39423388,024-39410944,shbank@shb.com.vn,
44(B1/2021),0300583659,SAB,Số 187 Nguyễn Chí Thanh - Phường 12 - Quận 5 - TP. Hồ Chí Minh,028-38296342,028-38296856,sabeco@sabeco.com.vn,
16(B2/2021)-42(B1/2021),0101248141,FPT,"Tòa nhà FPT Cầu Giấy, Số 17 phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội",024-73007300,024-37687410,fptnews@fpt.com.vn / ir@fpt.com.vn,
40(B1/2021),0100686209,Chưa niêm yết,Tòa nhà Mobifone - Lô VP1 - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,024-37831733,024-37831734,webmaster@mobifone.com.vn,
45(B1/2021),0100106320,Chưa niêm yết,228 Lê Duẩn - Phường Trung Phụng - Quận Đống Đa - TP. Hà Nội,024-38512425,024-38512778,contact@vicem.vn,
41(B1/2021),0100100047,Chưa niêm yết,91 Láng Hạ - Phường Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-38561767,024-38561815,,
48(B1/2021),3500102414,Chưa niêm yết,105 Lê Lợi - Phường Thắng nhì - TP. Vũng Tàu - Tỉnh Bà Rịa Vũng Tàu,0254-3839871,0254-3839857,hq@vietsov.com.vn,
18(B2/2021)-50(B1/2021),0300608092,HDB,25Bis Nguyễn Thị Minh Khai - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-62915916,028-62915900,info@hdbank.com.vn,
17(B2/2021)-46(B1/2021),3700381324,HSG,183 Nguyễn Văn Trỗi - Phường 10 - Quận Phú Nhuận - TP Hồ Chí Minh,028-39990111,,sales@hoasengroup.vn,
51(B1/2021),0301045759,Chưa niêm yết,418-420 Nguyễn Thị Minh Khai - Phường 5 - Quận 3 - TP. Hồ Chí Minh,028-39293388,028-39293377,info@sjc.com.vn,
43(B1/2021),0102276173,POW,"Tầng 8-9 Tòa nhà VPI, Số 173 Trung Kính - Phường Trung Kính - Quận Cầu Giấy - TP. Hà Nội",024-22210288,024-22210388,info@pv-power.vn,
47(B1/2021),1800590430,GE2,Số 01 Lê Hồng Phong - Phường Trà Nóc - Quận Bình Thuỷ - TP. Cần Thơ,0292-2461507,0292-2227446,evngenco2@gmail.com,
19(B2/2021)-52(B1/2021),0302017440,MCH,"Tầng 12, Tòa nhà Mplaza Saigon, Số 39 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62555660,028-38109463,danielle@msn.masangroup.com,
49(B1/2021),0301266564,GVR,236 Nam Kỳ Khởi Nghĩa - Phường 06 - Quận 3 - TP. Hồ Chí Minh,028-39325234,028-39327341,vrg@rubbergroup.vn,
53(B1/2021),0300514849,Chưa niêm yết,722 Điện Biên Phủ - Phường 22 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-37422578,028-37425350,marketing@saigonnewport.com.vn,
59(B1/2021),0102409426,VGI,"Tầng 39,40 Keangnam Hanoi Landmark Tower, Khu E6 KĐT mới Cầu - Phường Mễ Trì - Quận Nam Từ Liêm - Hà Nội",024-62626868,024-62568686,,
23(B2/2021)-61(B1/2021),0100598873,Chưa niêm yết,Số 39 Nguyễn Đình Chiểu - Phường Lê Đại Hành - Quận Hai Bà Trưng - TP. Hà Nội,024-62797120,024-62797119,steelpipe@hoaphat.com.vn,
55(B1/2021),0100915699,Chưa niêm yết,"B3, Đường Công nghiệp 4, KCN Sài Đồng B - Phường Thạch Bàn - Quận Long Biên - TP. Hà Nội",024-38752066 / 028-39102650,024-38752062,info@zuelligpharma.com.vn,
20(B2/2021)-57(B1/2021),0102325399,VJC,302/3 phố Kim Mã - Phường Ngọc Khánh - Quận Ba Đình - TP. Hà Nội,024-71086668,024-37281838,info@vietjetair.com,
56(B1/2021),0100150577,PVS,Lầu 5 - PetroVietnam Tower - số 1-5 Lê Duẩn - Quận 1 - TP. Hồ Chí Minh,028-39102828,028-39102929,ptsc@ptsc.com.vn,
54(B1/2021),0102595740,Chưa niêm yết,Số 5 Phạm Hùng - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - TP. Hà Nội,1900 545 481,,vanphong@vnpost.vn,
21(B2/2021)-58(B1/2021),0100233488,VIB,"Tầng 1 (tầng trệt) và tầng 2, Tòa nhà Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, TP. HCM, Việt Nam",(84-4) 6 276 0068,(84-4) 6 276 0069,vib@vib.com.vn,
22(B2/2021)-60(B1/2021),5200896375,Chưa niêm yết,"Số nhà 16, Đường Hoàng Hoa Thám - Tổ 2 - Phường Nguyễn Thái Học - TP. Yên Bái - Tỉnh Yên Bái",0216-3867567,0216-3867567,hoabinhminhyb@gmail.com,
62(B1/2021),0300816663,Chưa niêm yết,88 Đồng Khởi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38219437,028-38219436,recruitment@intl.pepsico.com,
63(B1/2021),0101216069,Chưa niêm yết,"Tầng 4, Tòa nhà Phú Điền, 83A Lý Thường Kiệt - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội",024-38265778,024-38265777,vinataba@vinataba.com.vn,
24(B2/2021)-64(B1/2021),6300048638,LPB,"Tòa nhà Thaiholdings Tower, Số 210 đường Trần Quang Khải - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội",024-62668668,024-62669669,dichvukhachhang@lienvietpostbank.com.vn,
29(B2/2021)-71(B1/2021),0104160054,Chưa niêm yết,"Tầng 4, Tòa Century Tower, KĐT, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội",024-73068868,024-37951071,info@stavianchem.com,
70(B1/2021),0102743068,Chưa niêm yết,Số 6 phố Hàng Bún-Phường Trúc Bạch-Quận Ba Đình-TP. Hà Nội,024-22204463,024-22204455,info@npt.evn.vn,
25(B2/2021)-65(B1/2021),0102683813,FLC,"Tầng 5, Tòa nhà FLC Land Mark Tower Đường Lê Đức Thọ-Phường Mỹ Đình 2-Quận Nam Từ Liêm-TP. Hà Nội",024-37711111,024-37245888,info@flc.vn,
26(B2/2021)-66(B1/2021),0100100512,GEX,GELEX Tower - 52 Lê Đại Hành - Phường Lê Đại Hành - Quận Hai Bà Trưng - TP. Hà Nội,024-39726245 / 46,024-39726282,gelex@gelex.vn,
28(B2/2021)-69(B1/2021),0102180545,Chưa niêm yết,"Tầng 2, Tòa nhà REE Tower, Số 9 Đoàn Văn Bơ - Phường 12 - Quận 4 - TP. Hồ Chí Minh",028-39111555,028-39333888,pr@fecredit.com.vn,
27(B2/2021)-68(B1/2021),0102744865,TPB,"Tòa nhà TPBank, Số 57 Lý Thường Kiệt - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội",024-37688998,024-37688979,info@tpb.com.vn,
67(B1/2021),5700101468,Chưa niêm yết,Phường Hồng Hải - TP. Hạ Long - Tỉnh Quảng Ninh,0203-3836336,0203-3835773,tctdongbac@gmail.com,
72(B1/2021),0105696842,Chưa niêm yết,163 Phan Đăng Lưu - Phường 01 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-39958368,028-39958423,dvkh@bigc-vietnam.com,
30(B2/2021)-73(B1/2021),0300521758,PNJ,170E Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-39951703,028-39951702,pnj@pnj.com.vn,
32(B2/2021)-77(B1/2021),0311224517,Chưa niêm yết,"Lầu 10, Tòa Nhà Central Plaza, Số 17 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62563862,028-38274115,,
75(B1/2021),6000346337,Chưa niêm yết,Đường Lê Duẩn - Phường Nghĩa Tân - Thị Xã Gia Nghĩa - Tỉnh Đăk Nông,0261-3543314 / 028-35210740,0261-3543314 / 028-3521 0770,vietnam@olamnet.com,
78(B1/2021),0301851276,Chưa niêm yết,149-151 Nguyễn Văn Trỗi - Phường 11 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-38100888,028-39973000,info@dai-ichi-life.com.vn,
76(B1/2021),0104093672,VTP,Số 1 Giang Văn Minh - Phường Kim Mã - Quận Ba Đình - TP. Hà Nội,024-62660306,024-69522490,cskh@viettelpost.com.vn,
33(B2/2021)-79(B1/2021),1101359647,Chưa niêm yết,"Lộ D1-9 đến D1-22, KCN Vĩnh Lộc 2 - Xã Long Hiệp - Huyện Bến Lức - Tỉnh Long An",0283-7594254,0283-7600440,tdnguyenminh@gmail.com,
34(B2/2021)-80(B1/2021),2801115888,Chưa niêm yết,Khu liên hợp Gang thép Nghi Sơn - Khu kinh tế Nghi Sơn - Tỉnh Thanh Hóa,0237-3613938,0237-3613937,,
81(B1/2021),5700101362,Chưa niêm yết,KCN Cái Lân - Phường Bãi Cháy - TP. Hạ Long - Tỉnh Quảng Ninh,0203-3846993,0203-3845971,info-calofic@vn.wilmar-intl.com,
35(B2/2021)-82(B1/2021),0301154821,SVC,66B - 68 Nam Kỳ Khởi Nghĩa - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh,028-38213913,028-38215993,savico@savico.com.vn,
87(B1/2021),3600233178,Chưa niêm yết,"Lầu 10-11, Trung tâm Thương mại Maple Tree 1060 Nguyễn Văn Linh - Phường Tân Phong - Quận 7 - TP.Hồ Chí Minh",028-54161515,028-54160495,trang_huynh@cargill.com,
83(B1/2021),1100439762,Chưa niêm yết,"Quốc lộ 1A, Xã Mỹ Yên, Huyện Bến Lức, Tỉnh Long An",0272-3870-363,0272-3870-366,hr@cjvina.com,
31(B2/2021)-74(B1/2021),0102182292,Chưa niêm yết,Phòng 804A Số 22 phố Láng Hạ-Phường Láng Hạ-Quận Đống đa-Hà Nội,024-37764668,024-37764666,info@vnpay.vn,
85(B1/2021),0301930337,Chưa niêm yết,"Tầng 15, Tòa nhà Saigon Centre tháp 2, Số 67 đường Lê Lợi - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38122777,028-62886969,vn.customer@aia.com,
36(B2/2021)-84(B1/2021),0303522206,SMC,Số 396 Ung Văn Khiêm - Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-38992299,028-38980909,smc@smc.vn,
39(B2/2021)-89(B1/2021),0302597576,Chưa niêm yết,24 Nguyễn Thị Nghĩa - Phường Bến Thành - Quận 1 - TP. Hồ Chí Minh,028-38323058,028-38539126,info@phytopharma.vn,
37(B2/2021)-86(B1/2021),3900244389,SBT,Xã Tân Hưng - Huyện Tân Châu - Tỉnh Tây Ninh,0276-3753250,0276-3839834,ttcs@ttcsugar.com.vn,
90(B1/2021),0100102608,Chưa niêm yết,Số 6 Ngô Quyền - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội,024-39264466,024-39264477,vinafood1@vinafood1.com.vn,
94(B1/2021),0100774342,Chưa niêm yết,Xã Trung Giã-Huyện Sóc Sơn-TP. Hà Nội,024-38855080/35824900,024-38855084/38217459,yamaha@yamaha.vn,
40(B2/2021)-91(B1/2021),0311609355,FRT,Số 261-263 Khánh Hội - Phường 5 - Quận 4 - TP. Hồ Chí Minh,028-73023456,028-39435773,investor@frt.vn,
42(B2/2021)-93(B1/2021),2600261303,Chưa niêm yết,Khu 2 - Xã Sông Lô - TP. Việt Trì - Tỉnh Phú Thọ,0210-3857463,0210-3954061,levamhl@yahoo.com,
44(B2/2021)-97(B1/2021),0300852005,Chưa niêm yết,41-45 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-38200960/38220961,028-38200963,dvkh@ocb.com.vn,
38(B2/2021)-88(B1/2021),2700668614,Chưa niêm yết,"Tầng 13, Thành Công Tower, Số 79 Dịch Vọng Hậu - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội",024-37951116,024-37951117,cs@hyundai.tcmotor.vn,
43(B2/2021)-95(B1/2021),2000393273,MPC,KCN Phường 8 - Phường 8 - TP. Cà Mau - Tỉnh Cà Mau,0290-3839391,0290-3668795,minhphu@minhphu.com,
98(B1/2021),3701091716,Chưa niêm yết,"Lô A4, KCN Hòa Phú, Ấp Phước Hòa - Xã Hòa Phú - Huyện Long Hồ - Tỉnh Vĩnh Long",0270-3962736 / 028-37402745,0270-3962735 / 028-37402744,infovn@deheus.com,
100(B1/2021),2500175548,Chưa niêm yết,Thị trấn Hương Canh - Huyện Bình Xuyên - Tỉnh Vĩnh Phúc,0211-3866170,0211-3866182,secretary@japfavietnam.com,
45(B2/2021)-101(B1/2021),0300452060,PET,"Lầu 6, Tòa nhà Petrovietnam, Số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39117777,028-39116789,info@petrosetco.com.vn,
99(B1/2021),0302249586,Chưa niêm yết,"Khu B, Khu đô thị mới An Phú-An Khánh - Phường An Phú - Quận 2 - TP. Hồ Chí Minh",028-35190390,028-35190348,contactus@mmvietnam.com,
41(B2/2021)-92(B1/2021),0303443233,CTD,236/6 Điện Biên Phủ-Phường 17-Quận Bình Thạnh-TP. Hồ Chí Minh,028-35142255/35142266,028-35142277,contact@coteccons.vn,
102(B1/2021),0100104468,Chưa niêm yết,164 Trần Quang Khải - Phường Lý Thái Tổ - Quận Hoàn Kiếm - TP. Hà Nội,024-37332359,024-37474647,vigecamjsc@vigecam.vn,
48(B2/2021)-105(B1/2021),0302861742,DWG,"Tầng 8, Tòa nhà Ngân hàng Nam Á, 201-203 Cách Mạng Tháng 8 - Phường 4 - Quận 3 - TP. Hồ Chí Minh",028-39290059,028-39290060,comms@dgw.com.vn,
