,name_input,name_result,mst,address
0,CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ NỢ VÀ KHAI THÁC TÀI SẢN NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM,Không có kết quả,,
1,CÔNG TY TNHH MỘT THÀNH VIÊN CHUYỂN TIỀN TOÀN CẦU - VIETINBANK,Không có kết quả,,
2,NGÂN HÀNG TNHH CÔNG THƯƠNG VIỆT NAM TẠI LÀO,Không có kết quả,,
3,CÔNG TY TNHH MỘT THÀNH VIÊN CHO THUÊ TÀI CHÍNH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM,Không có kết quả,,
4,CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ QUỸ NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM,Kết quả tìm kiếm trùng nhau : 1,,
5,CÔNG TY CỔ PHẦN CHỨNG KHOÁN NGÂN HÀNG CÔNG THƯƠNG VIỆT NAM,Kết quả tìm kiếm trùng nhau : 1,,
6,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI ĐẦU TƯ VÀ PHÁT TRIỂN THỜI ĐẠI,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI ĐẦU TƯ VÀ PHÁT TRIỂN THỜI ĐẠI,0311991096,"Địa chỉ: 72 Lê Thánh Tôn và 45A Lý Tự Trọng, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh"
7,CÔNG TY CỔ PHẦN THÉP HÒA PHÁT DUNG QUẤT,3,,
8,CÔNG TY TNHH THÉP HÒA PHÁT HƯNG YÊN,2,,
9,CÔNG TY TNHH TÔN HÒA PHÁT,CÔNG TY TNHH TÔN HÒA PHÁT,0900990134,"Địa chỉ: Đường E1, Khu E, Khu công nghiệp Phố Nối A, Xã Lạc Đạo, Huyện Văn Lâm, Hưng Yên"
10,CÔNG TY CỔ PHẦN THÉP HÒA PHÁT HẢI DƯƠNG,CÔNG TY CỔ PHẦN THÉP HOÀ PHÁT HẢI DƯƠNG,0800384651,"Địa chỉ: , Xã Hiệp Sơn, Huyện Kinh Môn, Hải Dương"
11,CÔNG TY CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP HÒA PHÁT,CÔNG TY CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP HÒA PHÁT,0900986272,"Địa chỉ: Khu công nghiệp Phố Nối A, Xã Giai Phạm, Huyện Yên Mỹ, Hưng Yên"
12,CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Kết quả tìm kiếm trùng nhau : 1,,
13,CÔNG TY CỔ PHẦN ĐẦU TƯ KHOÁNG SẢN AN THÔNG,2,,
14,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG HÒA PHÁT,CÔNG TY TNHH THIẾT BỊ PHỤ TÙNG HÒA PHÁT,0100365371,"Địa chỉ: Số 39 Nguyễn Đình Chiểu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
15,CÔNG TY CỔ PHẦN XÂY DỰNG & PHÁT TRIỂN ĐÔ THỊ HÒA PHÁT,Kết quả tìm kiếm trùng nhau : 12996,,
16,CÔNG TY TNHH ĐIỆN LẠNH HÒA PHÁT,2,,
17,CÔNG TY CỔ PHẦN NỘI THẤT HÒA PHÁT,2,,
18,CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ THÔNG TIN THẾ GIỚI DI ĐỘNG,Không có kết quả,,
19,"MWG (CAMBODIA) CO., LTD",Không có kết quả,,
20,CÔNG TY CỔ PHẦN THẾ GIỚI DI ĐỘNG,2,,
