mst,client_type
1602060784,CTCP
3502442832,CTCP
1800906109,CTCP
0106660302,CTCP
8057770061,CTCP
2000972249,CTCP
8420894308,CTCP
1702223908,CTCP
4900755586,CTCP
2901296620,CTCP
2901633964,CTCP
2900895519,CTCP
4001005738,CTCP
2200723264,CTCP
8048671667,CTCP
8034581999,CTCP
8041697137,CTCP
1601944692,CTCP
0107922582,CTCP
8028846887,CTCP
8406109926,CTCP
2900491298,CTCP
2901675192,CTCP
2901659962,CTCP
4000503265,CTCP
2802453142,CTCP
2800231948,CTCP
5600285155,CTCP
5100322063,Công ty TNHH
5100109627,Công ty cổ phần
2600357502-011,Công ty nhà nước
5100348720,Công ty TNHH
5100135793,Công ty nhà nước
5100231521,Công ty nhà nước
5100333724,Công ty TNHH
5100279315,Công ty TNHH
5100261780,Công ty nhà nước
5100100046,Công ty TNHH
5100255716,Công ty cổ phần
5100335400,Công ty TNHH
5100168541,Công ty TNHH
5100294313,Công ty TNHH
0106884817-002,Công ty nhà nước
0100111948-158,"Tập đoàn, Tổng công ty"
6200078011,Công ty nhà nước
6200098794,Công ty TNHH
6200067524,Công ty tư nhân
6200083727,Công ty TNHH
0100109441,Công ty nhà nước
4700233543,Công ty nhà nước
0100686174-647,Công ty nhà nước
4700262689,Công ty TNHH
4700127714,Công ty nhà nước
5100261639,Công ty nhà nước
3201190022,Công ty nhà nước
5100262777,Công ty nhà nước
5100262167,Công ty TNHH
5100263033,Công ty nhà nước
5100135698,Công ty TNHH
5100261597,Công ty nhà nước
0100686174-701,Công ty nhà nước
0100100417,Công ty TNHH
0101527385-007,Công ty nhà nước
2600357502-009,Công ty TNHH
5100175612,Công ty TNHH
3700381324-142,Công ty cổ phần
6200088605,Công ty TNHH
6200033839,Công ty TNHH
6200060737,Công ty cổ phần
6200018950,Công ty TNHH
6200000262,Công ty TNHH
6200053271,Công ty TNHH
6200087866,Công ty tư nhân
6200084255,Công ty cổ phần
0102641429,Công ty nhà nước
6200000230,Công ty cổ phần
6200016664,Công ty cổ phần
4800158113,Công ty nhà nước
4800255974,Công ty nhà nước
4800162543,Công ty nhà nước
0313617136-005,Công ty cổ phần
0801338418,Công ty cổ phần
0800129524,Công ty nhà nước
0801177672,Công ty TNHH
0800341545,Công ty 100% vốn nước ngoài
6100248044-005,Công ty nhà nước
6100137610,Công ty nhà nước
1601973774,Công ty TNHH
0100111948-111,Công ty cổ phần
6200045418,Công ty TNHH
6200087111,Công ty TNHH
5600100076,Công ty cổ phần
0100100417-043,Công ty nhà nước
6300048638-073,Công ty nhà nước
6200083004,Công ty TNHH
5600225205,Công ty TNHH
5600165852,Công ty tư nhân
6200087175,Công ty TNHH
6200087217,Công ty cổ phần
6200087432,Công ty TNHH
6200016015,Công ty TNHH
6200085033,Công ty nhà nước
3600244645,Công ty nhà nước
6200083653,Công ty TNHH
6200093757,Công ty TNHH
6200097906,Công ty TNHH
6200054395,Công ty cổ phần
6100248044,Công ty nhà nước
6100405152,Công ty nhà nước
6100471035,Công ty nhà nước
4800324762,Công ty TNHH
0101917681-001,Công ty TNHH
4800115374,Công ty nhà nước
0100695387-028,Công ty nhà nước
1601886803,Công ty TNHH
1601013245,Công ty TNHH
1601668611,Công ty TNHH
0101527385-016,Công ty cổ phần
0302669573,Công ty cổ phần
1601020718,Công ty TNHH
0800356171-006,Công ty nhà nước
4700272817,Công ty nhà nước
4700258996,Công ty cổ phần
4700199349,Công ty nhà nước
4700166181,Công ty nhà nước
4700189284,Công ty TNHH
4600128263-001,Công ty nhà nước
4700244591,Công ty tư nhân
4700236223,Công ty nhà nước
3700381324-114,Công ty TNHH
4700190466,Công ty nhà nước
4700257897,Công ty TNHH
4700253187,Công ty cổ phần
4700188996,Công ty cổ phần
4700119671-001,Công ty nhà nước
4600394931,Công ty TNHH
4700162589,Công ty TNHH
4700248243,Công ty cổ phần
0100100336,Công ty cổ phần
4700168894,Công ty nhà nước
4700143730,Công ty tư nhân
0100150619-024,Công ty nhà nước
4700225380,Công ty cổ phần
4578695639,Công ty tư nhân
0304973561,Công ty nhà nước
4700123540,Công ty nhà nước
4700113447,Công ty cổ phần
4700143730-006,Công ty nhà nước
6300048638-037,Công ty nhà nước
4700143804,Công ty tư nhân
4700146435-001,Công ty nhà nước
4700187537,Công ty nhà nước
4700147319,Công ty cổ phần
6420700000,Công ty nhà nước
4700164392,Công ty tư nhân
4700103294,Công ty tư nhân
4700240501,Công ty TNHH
5600312338,Công ty TNHH
6400092172,Công ty nhà nước
6400232101-001,Công ty nhà nước
6400031275,Công ty nhà nước
5600190520,Công ty TNHH
5600239663,Công ty TNHH
5600202656,Công ty TNHH
5600296534,Công ty TNHH
5600128113,Công ty TNHH
5600186940,Công ty tư nhân
5600287794,Công ty TNHH
5600205086,Công ty TNHH
6100405191,Công ty nhà nước
0100686174-781,Công ty nhà nước
6100310503,Công ty nhà nước
6100139006,Công ty nhà nước
6100143450-003,Công ty nhà nước
6100470930,Công ty nhà nước
6100242821,Công ty nhà nước
1601945329,Công ty tư nhân
1602040812,Công ty TNHH
1601942335,Công ty TNHH
0100686174-768,Công ty nhà nước
1601973164,Công ty TNHH
1601984198,Công ty TNHH
1601956377,Công ty TNHH
1601770492,Công ty TNHH
1600822444-002,Công ty tư nhân
0104012578,Công ty nhà nước
0305793402,Công ty tư nhân
0800458494,Công ty cổ phần
0800891228,Công ty cổ phần
0800384651,Công ty cổ phần
0100100417-046,Công ty nhà nước
5100262449,Công ty nhà nước
5100247465,Công ty TNHH
5100172989,Công ty TNHH
5100112690,Công ty TNHH
5100293503,Công ty TNHH
5100177867,Công ty TNHH
5100264196,Công ty TNHH
5100174591,Công ty TNHH
5100170075,Công ty TNHH
5100437667,Công ty TNHH
5100178902,Công ty TNHH
5100238710,Công ty TNHH
5100256251,Công ty TNHH
5100419386-001,Công ty TNHH
5100110598,Công ty TNHH
5100310639,Công ty TNHH
5100172957,Công ty TNHH
5100263065,Công ty TNHH
5100290936,Công ty TNHH
5100231465,Công ty TNHH
5100263555,Công ty TNHH
5100264005,Công ty TNHH
5100135708,Công ty nhà nước
5100102170,Công ty TNHH
5100279386,Công ty TNHH
5100138113,Công ty TNHH
5100204334,Công ty TNHH
5100234427,Công ty TNHH
5100282205,Công ty nhà nước
5100300119,Công ty TNHH
0100111948-154,Công ty nhà nước
5100174626,Công ty cổ phần
5100300704,Công ty TNHH
0100100417-022,Công ty TNHH
5100311061,Công ty nhà nước
5100296790,Công ty nhà nước
5100296663,Công ty nhà nước
5100296857,Công ty nhà nước
5100296825,Công ty nhà nước
5100421628,Công ty nhà nước
5100296085,Công ty nhà nước
0601140562,Công ty cổ phần
0100773902-003,Công ty tư nhân
0105789409,Công ty nhà nước
0303091197,Công ty cổ phần
0301452948,Công ty nhà nước
0200253985,Công ty tư nhân
6200045947,Công ty cổ phần
6200010542,Công ty TNHH
6200070397,Công ty TNHH
6200094380,Công ty TNHH
6200053144,Công ty cổ phần
5600148409,Công ty tư nhân
6200065340,Công ty TNHH
6200088919,Công ty TNHH
6200091238,Công ty tư nhân
6200066182,Công ty cổ phần
5300212646-001,Công ty cổ phần
5300199434,Công ty tư nhân
6200011345,Công ty tư nhân
6200014360,Công ty cổ phần
6200077392,Công ty TNHH
6200090026,Công ty TNHH
6200067884,Công ty TNHH
6200000093-002,Công ty TNHH
6200063590,Công ty TNHH
6200084858,Công ty cổ phần
6200000287,Công ty cổ phần
5300235026-001,Công ty TNHH
6200083170,Công ty nhà nước
5600120393,Công ty tư nhân
5600127247,Công ty TNHH
6200044735,Công ty TNHH
6200014699,Công ty tư nhân
5200126376,Công ty nhà nước
5200796966,Công ty tư nhân
5200743844,Công ty TNHH
5200215192,Công ty nhà nước
5200152471,Công ty nhà nước
5200647548,Công ty TNHH
5200466397,Công ty TNHH
0102900049,Công ty cổ phần
0102900049-003,Công ty cổ phần
0100111948-009,Công ty nhà nước
0500447004,Công ty cổ phần
1001125194-002,Công ty Liên doanh
3700381324-454,Công ty cổ phần
0500387891,Công ty cổ phần
0601159468,Công ty TNHH
0601010612,Công ty TNHH
0601142111,Công ty TNHH
0600341964,Công ty cổ phần
4500637193,Công ty cổ phần
5600101295,Công ty cổ phần
5600190873,Công ty tư nhân
5600184527,Công ty nhà nước
5600101256,Công ty cổ phần
5600217349,Công ty cổ phần
0101175912-002,Công ty tư nhân
5600180071,Công ty tư nhân
5600100478,Công ty cổ phần
0600289150,Công ty cổ phần
0201293596,Công ty TNHH
0601110053,Công ty TNHH
0601143771,Công ty TNHH
0600408866,Công ty TNHH
0601121513,Công ty TNHH
0600296373,Công ty cổ phần
0600681216,Công ty TNHH
0601140788,Công ty TNHH
