,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
0,TRƯỜNG CAO ĐẲNG Y KHOA PHẠM NGỌC THẠCH,0900267662,. - Phường Bần Yên Nhân - Thị xã Mỹ Hào - Hưng Yên.,ThS.Bùi Văn Tự ( sinh năm 1983 - Hà Nam) Ẩn thông tin,0321243779,2007-03-19,Cục Thuế Tỉnh Hưng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Bần Yên Nhân,,,,,https://masothue.com/0900267662-truong-cao-dang-y-khoa-pham-ngoc-thach,Hoá đơn tự in,,,,,,
1,TRƯỜNG CAO ĐẲNG CỘNG ĐỒNG HẢI PHÒNG,0200803815,Số 264 đường Trần Nhân Tông - Phường Nam Sơn - Quận Kiến An - Hải Phòng.,Đồng Tố Thanh,3 735127,2008-04-07,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Nam Sơn,Quận Kiến An,Hải Phòng.,HPG,MT,https://masothue.com/0200803815-truong-cao-dang-cong-dong-hai-phong,Không chứa thông tin hoá đơn,,,,,,
2,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ BẮC HÀ,2300280129,Số 89 đường Ngô Gia Tự - Phường Tam Sơn - Thành phố Từ Sơn - Bắc Ninh.,Nguyễn Tuấn Anh ( sinh năm 1979 - Đắk Lắk) Ẩn thông tin,02223749501,2006-05-22,Cục Thuế Tỉnh Bắc Ninh,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tam Sơn,Thành phố Từ Sơn,Bắc Ninh.,BNH,MB,https://masothue.com/2300280129-truong-cao-dang-cong-nghe-bac-ha,Hoá đơn giấy,https://masothue.com/0100105052-tong-cong-ty-duong-sat-viet-nam,TỔNG CÔNG TY ĐƯỜNG SẮT VIỆT NAM,0100105052 - TỔNG CÔNG TY ĐƯỜNG SẮT VIỆT NAM,,,
3,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ,0400560905,48 Cao Thắng - - Quận Hải Châu - Đà Nẵng.,Phan Cao Thọ,895839,2007-01-17,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,,,,,,https://masothue.com/0400560905-truong-cao-dang-cong-nghe,Không chứa thông tin hoá đơn,,,,,,
4,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ THÔNG TIN,0400583250,"Làng Đại học, đường Nam Kỳ Khởi Nghĩa - Phường Hoà Hải - Quận Ngũ Hành Sơn - Đà Nẵng.",Huỳnh Công Pháp,531479,2007-08-29,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Phường Hoà Hải,Quận Ngũ Hành Sơn,Đà Nẵng.,DNG,MT,https://masothue.com/0400583250-truong-cao-dang-cong-nghe-thong-tin,Hoá đơn giấy,https://masothue.com/0400364178-cong-ty-tnhh-in-an-quang-cao-va-thuong-mai-thanh-tin,CÔNG TY TNHH IN ẤN - QUẢNG CÁO VÀ THƯƠNG MẠI THÀNH TÍN,0400364178 - CÔNG TY TNHH IN ẤN - QUẢNG CÁO VÀ THƯƠNG MẠI THÀNH TÍN,,,
5,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ THÔNG TIN HỮU NGHỊ VIỆT - HÀN,0400584303,Phường Hoà Quý - Phường Hoà Quý - Quận Ngũ Hành Sơn - Đà Nẵng.,Hoàng Bảo Hùng,3962963,2007-09-11,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Phường Hoà Quý,Quận Ngũ Hành Sơn,Đà Nẵng.,DNG,MT,https://masothue.com/0400584303-truong-cao-dang-cong-nghe-thong-tin-huu-nghi-viet-han,Không chứa thông tin hoá đơn,,,,,,
6,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ VÀ KINH TẾ CÔNG NGHIỆP,4600268373,TDP Thanh Tân - Phường Trung Thành - Thành phố Phổ Yên - Thái Nguyên.,Khuất Quang Tuấn ( sinh năm 1974 - Hà Nội) Ẩn thông tin,866183,2001-05-08,Chi cục Thuế khu vực Phổ Yên - Phú Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Trung Thành,Thành phố Phổ Yên,Thái Nguyên.,TNN,TN,https://masothue.com/4600268373-truong-cao-dang-cong-nghe-va-kinh-te-cong-nghiep,Không chứa thông tin hoá đơn,,,,,,
7,TRƯỜNG CAO ĐẲNG CÔNG NGHỆ VIETTRONICS,0200551981,Số 16 Đường Cát bi - - Quận Hải An - Hải Phòng.,Nguyễn Thị Thiết,726972,2003-07-17,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/0200551981-truong-cao-dang-cong-nghe-viettronics,Hoá đơn giấy,https://masothue.com/0201130915-cong-ty-tnhh-in-quang-cao-va-thuong-mai-dai-an-tin,CÔNG TY TNHH IN - QUẢNG CÁO VÀ THƯƠNG MẠI ĐẠI AN TÍN,0201130915 - CÔNG TY TNHH IN - QUẢNG CÁO VÀ THƯƠNG MẠI ĐẠI AN TÍN,,,
8,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP CẨM PHẢ,5700101059,"Số 78, Đường Nguyễn Văn Trỗi, phường Cẩm Thuỷ - Phường Cẩm Thủy - Thành phố Cẩm Phả - Quảng Ninh.",Hoàng Minh Hải,02033862091,1998-09-04,Chi cục Thuế khu vực Cẩm Phả - Vân Đồn - Cô Tô,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,"Số 78, Đường Nguyễn Văn Trỗi, phường Cẩm Thuỷ",Thành phố Cẩm Phả,Quảng Ninh.,QNH,MB,https://masothue.com/5700101059-truong-cao-dang-cong-nghiep-cam-pha,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
9,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP HÓA CHẤT,2600561314,Khu 4 - Thị trấn Hùng Sơn - Huyện Lâm Thao - Phú Thọ.,Trần Minh Thịnh,0210 3786 168,2009-05-20,Chi cục Thuế khu vực Lâm Thao - Phù Ninh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Hùng Sơn,Huyện Lâm Thao,Phú Thọ.,PTO,MB,https://masothue.com/2600561314-truong-cao-dang-cong-nghiep-hoa-chat,Không chứa thông tin hoá đơn,,,,,,
