Nha_thuoc,Dia_chi,dien_thoai
Qt số 124,"tổ dân phố vườn hoa, Đồi Ngô, Lục Nam, Bắc Giang",0974064380
Quầy thuốc Mở Hồng - DS Nguyễn Thị Mai Hồng,"Số 154, Lý Thường Kiệt, Lim, Tiên Du, Bắc Ninh",0367482265
NT Việt Đức,"86 Đà Sơn,, Hòa Khánh Nam, Liên Chiểu, Đà Nẵng",0989829909
Nhà thuốc Vân Ngọc,"43, Huỳnh Ngọc Huệ, An Khê, Thanh Khê, Đà Nẵng",
Quầy Thuốc Đức Tín 1,"Tổ 26,ấp 2, Mỹ Long, Cao Lãnh, Đồng Tháp",0979773241
NT Nguyễn Mỳ,"Số 44, Lý Thường Kiệt, 1, Sa Đéc, Đồng Tháp",0939397199
NT Thanh Nhàn - DS: Phan Thị Thu Hằng,"Số 20 , Ngõ 1 Đỗ Nhuận, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",
Nhà thuốc Thu Cúc,"193 , Yên Hòa, Yên Hoà, Cầu Giấy, Hà Nội",0379282097
NT Thân Thiện - DS: Phạm Văn Quý,"Số 10 ngõ 68/39 Đ. Cầu Giấy, , Quan Hoa, Cầu Giấy, Hà Nội",0856905886
NT Hồng Đức - Ds Nguyễn Thị Thu Thủy,"Số 1 Ngõ 1, cầu đơ 5, Hà Cầu, Hà Đông, Hà Nội",0962895166
NT số 1 Ngân Hà - DS: Nguyễn Thị Lộc,"Số 212, Phùng Hưng, Phúc La, Hà Đông, Hà Nội",0904789600
Nhà thuốc Anh Tuấn - DS Trần Thị Thử,"Số 206 Phúc Tân, , Phúc Tân, Phúc Tân, Hoàn Kiếm, Hà Nội",
NT Minh Tâm- DSPT Nguyễn Thị Thu,"Số 40 tổ 19, Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai, Hà Nội",0979540268
Nhà thuốc Phúc Hải - DS Kim Ngọc Trung,"Số 28, Ngọc Thụy , Ngọc Thụy, Long Biên, Hà Nội",0968241289
Quầy thuốc tư nhân Quang Thắm - DS Phạm Thị Thắm,"Đội 8 Xóm Ngoài, Vĩnh trung, Đại áng, Thanh Trì, Hà Nội",0966179569
Quầy thuốc Lê Thị Huyền,"thôn 2, Cẩm Thăng, Cẩm Xuyên, Hà Tĩnh",0978261397
Quầy Thuốc Thanh Mai,"Số Nhà 192, Nguyễn Tất Thành , Khối 9, Nghèn, Can Lộc, Hà Tĩnh",0943598338
Quấy Thuốc Thu Hiền - Ds: Thu Hiền,"Thạch Bằng, Lộc Hà, Hà Tĩnh",0356816039
Quầy Thuốc Chữa Bệnh Số 69 - PT: Hồ Thị Thu,"Chợ Thạch Đỉnh, Thạch Đỉnh, Thạch Hà, Hà Tĩnh",0983349008
