STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
1,Tập đoàn Công nghiệp than khoáng sản Việt Nam,,"226 Lê Duẩn,Phường Trung Phụng,Đống Đa,Hà Nội",5700100256,Hà Nội,,
2,Tổng công ty lương thực miền Bắc,,"Số 6, phố Ngô Quyền, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội, Vietnam",0100102608,Hà Nội,,
3,Tổng Công ty VTC,,"Tầng 13, Số 23, Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng,  Hà Nội",0100110006,Hà Nội,,
4,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,,"Tầng 2, TN Capital Tower - 109 Trần Hưng Đạo-q.Hoàn Kiếm - Hà nội",6300048638,Hà Nội,LPB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LPB
5,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,,"Số 11 Hàn Thuyên, Phạm đình Hổ, Hai Bà Trưng, Hà Nội - Phòng Kế toán",1800278630,Hà Nội,SHB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHB
6,Ngân hàng TMCP Quốc dân,,"Số 28C-D Bà Triệu, P. Hàng Bài, Q.Hoàn Kiếm, Hà Nội",1700169765,Hà Nội,NVB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NVB
7,Công ty Bảo hiểm Liên Hiệp,,"Tầng 09, tòa nhà Hà Nội Tung Shing Square, Số 2 Ngô Quyền, Quận Hoàn Kiếm, Thành phố Hà Nội",0100112571,Hà Nội,,
8,Công ty Cổ phần Tập đoàn T&T,,"2A Phạm Sư Manh, phường Phan Chu Trinh, quận Hoàn Kiếm, Hà Nội",0100233223,Hà Nội,,
9,Tổng Công ty Giấy Việt Nam,,"25A phố Lý Thường Kiệt,, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",2600357502,Hà Nội,,
10,TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ THỊ - CÔNG TY TRÁCH NHIỆM HỮU HẠN,,"Tầng 28, 29, 30, 31, 32 tòa nhà Văn phòng thương mại HUDTOWER, số 37 đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",0100106144,Hà Nội,,
11,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ TÂN HIỆP PHÁT,,219 Đại lộ Bình Dương - Phường Vĩnh Phú - TP. Thuận An - Tỉnh Bình Dương,0301387752,Bình Dương,,
12,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,,"Tòa nhà Sofic, 10 Mai Chí Thọ, P Thủ Thiêm Thủ Đức, TP. Hồ Chí Minh, Việt Nam",3600252847,TP Hồ Chí Minh,THA,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THA
13,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,," Lô T2-1.2 đường D1, Khu Công Nghệ Cao, Phường Tân Phú, Quận 9,",0306731335,TP Hồ Chí Minh,MWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MWG
14,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,,170E Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,0300521758,TP Hồ Chí Minh,PNJ,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PNJ
15,CÔNG TY CP THẾ GIỚI SỐ,,"Số 195 – 197 Đường Nguyễn Thái Bình - P. Nguyễn Thái Bình - Q.1, Tp. Hồ Chí Minh",0302861742,TP Hồ Chí Minh,DWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DWG
16,NGÂN HÀNG TMCP VIỆT Á,,"119-121 Đ. Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",0302963695,TP Hồ Chí Minh,VAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VAB
17,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,,"2W Ung Văn Khiêm, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh",0303104343,TP Hồ Chí Minh,DXG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DXG
18,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,,253 Hoàng Văn Thụ - P. 2 - Q. Tân Bình - Tp. Hồ Chí Minh,0303315400,TP Hồ Chí Minh,SCR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCR
19,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),,Sân bay Quốc tế Tân Sơn Nhất - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,0301123125,TP Hồ Chí Minh,SAS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAS
20,CÔNG TY CP CHĂN NUÔI C.P. VIỆT NAM,,Số 2 đường 2A - KCN Biên Hòa II - Phường Long Bình Tân - TP. Biên Hòa - Tỉnh Đồng Nai,3600224423,Đồng Nai,,
21,CÔNG TY TNHH INTEL PRODUCTS VIỆT NAM,,Lô 12 KCN Cao Đường D1 - Phường Tân Phú - Quận 9 - TP. Hồ Chí Minh,0304295429,TP Hồ Chí Minh,,
22,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ PRUDENTIAL VIỆT NAM,,"37 Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0301840443,TP Hồ Chí Minh,,
23,CÔNG TY TNHH QUỐC TẾ UNILEVER VIỆT NAM,,156 Nguyễn Lương Bằng - Phường Tân Phú - Quận 7 - TP. Hồ Chí Minh,0300762150,TP Hồ Chí Minh,,
24,CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM,,"Lô A2-3, Khu Công nghiệp Tây Bắc Củ Chi, phường Tân An Hội, Củ Chi, Tp Hồ Chí Minh",0300816663,TP Hồ Chí Minh,,
25,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ DAI-ICHI VIỆT NAM,,"Lầu 5, Khách sạn Sheraton, 88 Đường Đồng Khởi, Phường bến Nghé, Quận 1, Thành phố Hồ Chí Minh",0301851276,TP Hồ Chí Minh,,
26,CÔNG TY CP ACECOOK VIỆT NAM,,"RJ77+9PQ, Đường CN8, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh",0300808687,TP Hồ Chí Minh,,
27,CÔNG TY TÀI CHÍNH TNHH HD SAISON,,"138-142 Hai Bà Trưng, P Đa Kao, Quận 1, Hồ Chí Minh",0304990133,TP Hồ Chí Minh,,
28,CÔNG TY TNHH TRUYỀN HÌNH CÁP SAIGONTOURIST,,"31-33 Đinh Công Tráng, Phường Tân Định, Quận 1, Tp.Hồ Chí Minh",0301463315,TP Hồ Chí Minh,,
29,Công Ty TNHH MM Mega Market (Việt Nam) - tên cũ Metro Cash And Carry Việt Nam,,"Khu B Khu đô thị mới An Phú - An Khánh - Quận 2, Tp. Hồ Chí Minh",0302249586,TP Hồ Chí Minh,,
30,Công Ty TNHH  Sony Electronics Việt Nam,,"Tầng 6&7 tòa nhà President Palace, 93 Nguyễn Du, Quận 1, Hồ Chí Minh",0305712139,TP Hồ Chí Minh,,
31,Công ty TNHH SIAM CITY CEMENT (Việt Nam) ,,"Cao ốc Fideco, lầu 10, số 81-83-83B-85 Hàm nghi, Quận 1, thành phố Hồ CHí Minh",0300608568,TP Hồ Chí Minh,,
32,Tổng công ty đầu tư và kinh doanh vốn nhà nước,,"Số 117 đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",0101992921,Hà Nội,,
33,Tập đoàn Xăng dầu Việt Nam,,"Số 1 Khâm Thiên. Phường Khâm Thiên, Quận Đống Đa,Hà Nội",0100107370,Hà Nội,PLX,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLX
34,Tập đoàn Hóa chất Việt Nam,,"1A Tràng Tiền, Q.Hoàn Kiếm, Hà Nội",0100100061,Hà Nội,,
35,Tập đoàn Điện lực Việt Nam,,"Số 11 Cửa Bắc, phường Trúc Bạch, Quận Ba Đình,Thành phố Hà Nội",0100100079,Hà Nội,,
36,Tập đoàn Dầu khí Việt Nam,,"Tòa nhà Viện Dầu khí Việt Nam, số 167 đường Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",0102276173,Hà Nội,POW,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=POW
37,Tổng công ty Viễn thông MobiFone,,"Tòa nhà Mobifone, lô VP1, P Yên Hòa, Q Cầu Giấy, TP Hà Nội, VN",0100686209,Hà Nội,,
38,Tổng công ty Thuốc lá Việt Nam,,"Số 235 đường Nguyễn Trãi, phường Thượng Đình, Quận Thanh Xuân, thành phố Hà Nội",0101216069,Hà Nội,,
39,Tổng công ty Hàng không Việt Nam,,"Số 200, Phố Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, TP Hà Nội, Việt Nam",0100107518,Hà Nội,HVN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HVN
40,Tổng công ty Hàng hải Việt Nam,,"Số 2 Nguyễn Thượng Hiền, Hồng Bàng, Hải Phòng",0200118954,Hải Phòng,,
41,Tổng công ty Đường sắt Việt Nam,,"118 Lê Duẩn, phường Cửa Nam, Quận Hoàn Kiếm, thành phố Hà Nội",0100105052,Hà Nội,,
42,Tổng công ty Đầu tư phát triển đường cao tốc Việt Nam,,"Tầng 2,3,4,5 Tháp A, Tòa nhà CENTRAL POINT, Số 219 phố Trun, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội ",0101573511,Hà Nội,,
43,Tổng công ty Lâm nghiệp Việt Nam,,127 Lò Đúc - Phường Đống Mác - Quận Hai Bà Trưng - Thành Phố Hà Nội,0100102012,Hà Nội,VIF,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIF
44,Công ty Cổ phần Tổng Công ty Truyền hình cáp Việt Nam,,Tòa nhà VTV - Số 3/84 đường Ngọc Khánh - P.Giảng Võ- Q.Ba Đình - TP.Hà Nội,0105926285,Hà Nội,CAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CAB
