STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
4,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,,"Tầng 2, TN Capital Tower - 109 Trần Hưng Đạo-q.Hoàn Kiếm - Hà nội",6300048638,Hà Nội,LPB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LPB
5,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội,,"Số 11 Hàn Thuyên, Phạm đình Hổ, Hai Bà Trưng, Hà Nội - Phòng Kế toán",1800278630,Hà Nội,SHB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHB
6,Ngân hàng TMCP Quốc dân,,"Số 28C-D Bà Triệu, P. Hàng Bài, Q.Hoàn Kiếm, Hà Nội",1700169765,Hà Nội,NVB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NVB
12,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,,"Tòa nhà Sofic, 10 Mai Chí Thọ, P Thủ Thiêm Thủ Đức, TP. Hồ Chí Minh, Việt Nam",3600252847,TP Hồ Chí Minh,THA,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=THA
13,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,," Lô T2-1.2 đường D1, Khu Công Nghệ Cao, Phường Tân Phú, Quận 9,",0306731335,TP Hồ Chí Minh,MWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MWG
14,CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,,170E Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,0300521758,TP Hồ Chí Minh,PNJ,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PNJ
15,CÔNG TY CP THẾ GIỚI SỐ,,"Số 195 – 197 Đường Nguyễn Thái Bình - P. Nguyễn Thái Bình - Q.1, Tp. Hồ Chí Minh",0302861742,TP Hồ Chí Minh,DWG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DWG
16,NGÂN HÀNG TMCP VIỆT Á,,"119-121 Đ. Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",0302963695,TP Hồ Chí Minh,VAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VAB
17,CÔNG TY CP TẬP ĐOÀN ĐẤT XANH,,"2W Ung Văn Khiêm, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh",0303104343,TP Hồ Chí Minh,DXG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DXG
18,CÔNG TY CP ĐỊA ỐC SÀI GÒN THƯƠNG TÍN,,253 Hoàng Văn Thụ - P. 2 - Q. Tân Bình - Tp. Hồ Chí Minh,0303315400,TP Hồ Chí Minh,SCR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SCR
19,CÔNG TY CP DỊCH VỤ HÀNG KHÔNG SÂN BAY TÂN SƠN NHẤT (SASCO),,Sân bay Quốc tế Tân Sơn Nhất - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh,0301123125,TP Hồ Chí Minh,SAS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAS
33,Tập đoàn Xăng dầu Việt Nam,,"Số 1 Khâm Thiên. Phường Khâm Thiên, Quận Đống Đa,Hà Nội",0100107370,Hà Nội,PLX,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PLX
36,Tập đoàn Dầu khí Việt Nam,,"Tòa nhà Viện Dầu khí Việt Nam, số 167 đường Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",0102276173,Hà Nội,POW,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=POW
39,Tổng công ty Hàng không Việt Nam,,"Số 200, Phố Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, TP Hà Nội, Việt Nam",0100107518,Hà Nội,HVN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HVN
43,Tổng công ty Lâm nghiệp Việt Nam,,127 Lò Đúc - Phường Đống Mác - Quận Hai Bà Trưng - Thành Phố Hà Nội,0100102012,Hà Nội,VIF,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIF
44,Công ty Cổ phần Tổng Công ty Truyền hình cáp Việt Nam,,Tòa nhà VTV - Số 3/84 đường Ngọc Khánh - P.Giảng Võ- Q.Ba Đình - TP.Hà Nội,0105926285,Hà Nội,CAB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CAB
51,Tổng công ty Thép Việt Nam - CTCP,,"Số 91 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội, Vietnam",0100100047,Hà Nội,TVN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TVN
52,Ngân hàng TMCP Kỹ Thương Việt Nam,,"Số 191 phố Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội",0100230800,Hà Nội,TCB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TCB
53,Ngân hàng TMCP Công thương Việt Nam,,"108 Trần Hưng Đạo,Quận Hoàn Kiếm,Hà Nội",0100111948,Hà Nội,CTG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTG
