mck_cong_ty_HO,ten_cong_ty_con,ti_le_so_huu
NVB,Công ty TNHH Quản lý nợ và Khai thác tài sản Nam Việt Ngân hàng,100%
PNJ,Công ty TNHH MTV Thời trang CAF,100%
PNJ,Công ty TNHH MTV Giám định PNJLAB,100%
PNJ,Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJP,100%
PNJ,Công ty TNHH MTV Kỷ nguyên Khách hàng CECL,100%
SHB,Công ty TNHH MTV Quản lý nợ và khai thác tài sản-Ngân hàng TMCP Sài Gòn-Hà Nội (SHAMC),100%
SHB,Công ty Cổ phần Chứng khoán SHB,98.47%
THA,Công ty TNHH MTV Đầu tư Phát triển Hạ tầng KCN và Đô thị Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Cơ khí Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Cảng Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Vận tải-Giao nhận-Phân phối Ô tô Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Cơ khí chuyên dụng Bắc Bộ Trường Hải,100%
THA,Công ty TNHH Vận tải biển Chu Lai Trường Hải,100%
THA,Công ty TNHH Sản xuất và Lắp ráp Ô tô An Thành Phát,100%
MWG,Công ty TNHH MTV Công nghệ thông tin Thế Giới Di Động,100%
MWG,"MWG (Cambodia) Co., Ltd",99.95%
MWG,CTCP Thế giới Di động,99.95%
MWG,CTCP Thương mại Bách Hóa Xanh,99.95%
MWG,Công ty Cổ phần Thế giới số Trần Anh,99.94%
DXG,Công ty TNHH MTV Đất xanh Hội An,100%
DXG,Công ty TNHH Phát triển Đô thị Quảng Bình,100%
SCR,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,100%
SCR,Công ty TNHH Đầu tư BĐS Hùng Anh Năm,100%
SCR,Công ty TNHH MTV TTC LAND RETAIL MANAGEMENT,100%
SCR,CTCP Đầu tư BĐS TTC LAND Long An,98%
SCR,CTCP Thương mại Nguyễn Kim Đà Nẵng,96%
SCR,Công Ty CP Đầu tư Phát  triển BĐS Đông Sài gòn,95%
SCR,Công Ty TNHH Thương Tín Tàu Cuốc,92.2%
SCR,CTCP Mai Lan,90.07%
SCR,Công ty TNHH Thương Tín – CJ Cầu Tre,63.43%
SCR,CTCP Năng lượng Thương Tín,52%
POW,Công ty CP Thủy điện ĐakĐrink,95.27%
POW,Công ty Cổ phần Thủy điện Hủa Na,84.14%
POW,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,59.37%
POW,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,51%
POW,Công ty Cổ phần Máy - Thiết bị Dầu khí,
CAB,CTCP Phát triển thể thao VTVcab,51.1%
CAB,CTCP Công nghệ Việt Thành,51%
CAB,CTCP Truyền hình Tương tác Việt Nam,51%
THA,Công ty TNHH MTV Gia công thép Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Sản xuất Ô tô chuyên dụng Trường Hải,100%
THA,Công ty TNHH MTV Sản xuất & Lắp ráp Ô tô khách Trường Hải,100%
THA,Công ty TNHH MTV Thương mại Sản xuất Diệu Bằng,100%
THA,Công ty TNHH MTV Phụ tùng Trường Hải,100%
THA,Công ty TNHH Sản xuất và Lắp ráp Ô tô Chu Lai Trường Hải,100%
THA,Công ty TNHH Sản xuất và Lắp ráp Ô tô Du lịch Trường Hải-KIA,100%
THA,Công ty TNHH MTV Cơ điện Chu Lai Trường Hải,100%
DXG,Công ty TNHH MTV Phát triển Đô thị,100%
DXG,Công ty TNHH MTV Smart Property,100%
DXG,CTCP Bất động sản Linkhouse Nghĩa Kỳ,100%
DXG,Công ty TNHH Charm & CI Việt Nam,100%
SCR,Công ty TNHH Quản lý dịch vụ và Địa ốc Sài Gòn Thương Tín,50%
VIF,Công ty TNHH MTV Lâm Nghiệp Đình Lập,100%
VIF,Công ty TNHH MTV Lâm Nghiệp Ba Tơ,100%
VIF,Công ty TNHH MTV Lâm Nghiệp Đông Bắc,100%
VIF,Công ty TNHH MTV Lâm Nghiệp Lộc Bình,100%
HVN,Công ty TNHH MTV Kỹ thuật máy bay (VAECO),100%
HVN,Công ty TNHH MTV Nhiên liệu Hàng không,100%
HVN,Công ty TNHH MTV Dịch vụ mặt đất sân bay Việt Nam,100%
HVN,Công ty TNHH MTV Suất ăn hàng không Việt Nam,100%
HVN,Công ty Phân phối Toàn cầu Abacus Việt Nam,90%
HVN,Công ty CP Hàng không Jetstar Pacific Airlines,68.85%
HVN,Công ty TNHH Giao nhận hàng hóa (VINAKO),65.05%
HVN,CTCP Công trình Hàng không (ACC),64.54%
PLX,Công ty Xăng dầu Cao Bằng,100%
PLX,Công ty Xăng dầu Điện Biên,100%
PLX,Công ty Xăng dầu Quảng Bình,100%
TVN,Công ty TNHH MTV Thép Miền Nam – Vnsteel,100%
TVN,Công ty TNHH MTV Thép Tấm lá Phú Mỹ - Vnsteel,100%
TVN,Công ty TNHH MTV Tư vấn MDC-VNSTEEL,100%
TVN,Công ty TNHH MTV Cung ứng và nhân lực VNSTEEL,100%
TCB,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản-Ngân hàng TMCP Kỹ thương Việt Nam,100%
TCB,Công ty TNHH Quản lý quỹ Kỹ Thương,100%
TCB,Công ty TNHH Chứng khoán Kỹ Thương,94.49%
MSB,Công ty TNHH MTV Quản lý nợ & Khai thác tài sản Ngân hàng TMCP Hàng hải Việt Nam,100%
MSB,Công ty Tài chính TNHH MTV Cộng đồng (FCCOM),100%
BID,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản BIDV (BAMC),100%
BID,Công ty TNHH Đầu tư phát triển quốc tế,100%
BID,Ngân hàng Đầu tư và Phát triển Campuchia (BIDC),98.5%
BID,Công ty Chứng khoán Campuchia - Việt Nam (CVS),98.5%
VIB,Công ty TNHH MTV Quản lý nợ và khai thác tài sản-Ngân hàng TMCP Quốc tế Việt Nam (VIBAMC),100%
THA,Trường Cao đẳng Nghề Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Chè Thuận Phát,100%
THA,Công ty TNHH MTV Sản xuất & Lắp rắp Điện lạnh Trường Hải,100%
THA,Công ty TNHH MTV Xây dựng Chu Lai Trường Hải,100%
THA,Công ty TNHH MTV Vĩnh Cát,100%
DXG,Công ty TNHH Đầu tư Bất Động Sản Hà An Land,100%
