Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
CÔNG TY TƯ VẤN ĐẦU TƯ ĐIỆN - THAN,5700100256-003,Nguyễn Thành Sơn,108 Lê duẩn - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
TRUNG TÂM GIAO DỊCH THAN VIỆT NAM,5700100256-009,Phạm Trung Hưng,108 Lê Duẩn Phường trung phụng - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,Dịch vụ lưu trú
CÔNG TY PHÁT TRIỂN TIN HỌC CÔNG NGHỆ VÀ MÔI TRƯỜNG,5700100256-015,Nguyễn Mạnh Điệp,226 Lê Duẩn - - Quận Đống đa - Hà Nội.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,"Lập trình máy vi tính, dịch vụ tư vấn và các hoạt động khác liên quan đến máy vi tính"
C/N TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM - CÔNG TY KD BẤT ĐỘNG SẢN - TKV,5700100256-038,Đặng Quốc Hùng,"Số 226, Lê Duẩn, phường trung phụng - - Quận Đống đa - Hà Nội.",Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hà Nội,"Khai thác đá, cát, sỏi, đất sét"
CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP THAN – KHOÁNG SẢN VIỆT NAM - BAN QUẢN LÝ DỰ ÁN TÒA NHÀ VINACOMIN TẠI TP HỒ CHÍ MINH,5700100256-052,PHÙNG TÂN CƯƠNG,"Số 2W Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Tập đoàn Công nghiệp than khoáng sản Việt Nam,TP Hồ Chí Minh,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan
KHO HÀNG VT DỰ TRỮ TT TẠI C.TY CP ĐẦU TƯ TM,5700100256-069,Đặng Thanh Hải,Số 10 Hồ Xuân Hương - - Quận Hồng Bàng - Hải Phòng.,Tập đoàn Công nghiệp than khoáng sản Việt Nam,Hải Phòng,
CHI NHÁNH TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,0100102608-001,NGUYỄN DỤC HINH,"Tòa nhà NNC, số 16Bis, đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tổng công ty lương thực miền Bắc,TP Hồ Chí Minh,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống"
CTY KINH DOANH BAO BÌ LƯƠNG THỰC,0100102608-002,Trần Đức Quân,Lô 3 Đường D KCN Tân Tạo P.Tân Tạo A - - Quận Bình Tân - TP Hồ Chí Minh.,Tổng công ty lương thực miền Bắc,TP Hồ Chí Minh,Sản xuất thực phẩm khác chưa được phân vào đâu
CÔNG TY CHẾ BIẾN KINH DOANH LƯƠNG THỰC - THỰC PHẨM HÀ NỘI,0100102608-003,Phùng Ngọc Quý,Số 67A Trương Định - - Quận Hai Bà Trưng - Hà Nội.,Tổng công ty lương thực miền Bắc,Hà Nội,Sản xuất đồ uống
NHÀ MÁY CHẾ BIẾN GẠO PHÚ AN,0100102608-023,Quách Vũ Khương,"Số 126A, ấp Hưng Lợi Đông - Xã Long Hưng B - Huyện Lấp Vò - Đồng Tháp.",Tổng công ty lương thực miền Bắc,Đồng Tháp,
CHI NHÁNH CTY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ TRUYỀN HÌNH VN,0100110006-008,Đàm Quốc Hưng,171 Lý Chính Thắng-P.07 - - Quận 3 - TP Hồ Chí Minh.,Tổng Công ty VTC,TP Hồ Chí Minh,Bán buôn chuyên doanh khác
TRUNG TÂM TRUYỀN HÌNH KỸ THUẬT SỐ VTC TẠI TPHCM,0100110006-019,Đỗ Thị Minh Hương,27 Nguyễn Bỉnh Khiêm P.Đakao - Phường Đa Kao - Quận 1 - TP Hồ Chí Minh.,Tổng Công ty VTC,TP Hồ Chí Minh,"Hoạt động phát thanh, truyền hình"
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH CẦN THƠ - PHÒNG GIAO DỊCH TRÀ NÓC,6300048638-017,ĐỒNG PHÚ THANH,"A1, tổ 7, khu vực 4, Lê Hồng Phong, Phường Trà Nóc, Quận Bình Thuỷ, Thành phố Cần Thơ, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT CHI NHÁNH CẦN THƠ PHÒNG GIAO DỊCH THỐT NỐT,6300048638-018,NGUYỄN TRỌNG NHÂN,"Khu vực Phụng Thạnh 1, Phường Thốt Nốt, Quận Thốt Nốt, Thành phố Cần Thơ, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Cần Thơ,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - PHÒNG GIAO DỊCH PHÚ NHUẬN,6300048638-021,ĐẶNG XUÂN BẢO,"168 Phan Xích Long, Phường 02, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH LONG BIÊN,6300048638-022,NGUYỄN THỊ LIÊN,"Số 15, đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,Hà Nội,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - PHÒNG GIAO DỊCH NAM SÀI GÒN,6300048638-023,NGUYỄN VĂN NHUẦN,"Tầng 1, tầng lửng, tầng 2, tầng 3, 480C Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT-VĂN PHÒNG ĐẠI DIỆN NGÂN HÀNG BƯU ĐIỆN LIÊN VIỆT KHU VỰC PHÍA NAM,6300048638-039,NGUYỄN QUÝ CHIẾN,"2A Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,TP Hồ Chí Minh,Hoạt động trung gian tiền tệ khác
