url_HO,mst_HO,nganh_nghe_HO,ten_chi_nhanh,mst_chi_nhanh,CEO_chi_nhanh,Dia_chi_chi_nhanh
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM CHUYỂN MẠCH VÀ TRUYỀN DẪN,2801115888-001,Hoàng Sỹ Thuỷ,26A Đại Lộ Lê Lợi - P Điện Biên - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG TP THANH HOÁ,2801115888-002,Hoàng Sỹ Thuỳ,26 A Đại Lộ Lê Lợi - P Điện Biên - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG SẦM SƠN,2801115888-003,,P Trường Sơn - - Thành Phố Sầm Sơn - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG ĐÔNG SƠN,2801115888-004,,Khối 4 - TT Rừng thông - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG BỈM SƠN,2801115888-005,,02 Đinh Công Tráng - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG HÀ TRUNG,2801115888-006,,TK 6 -TT Hà Trung - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG THẠCH THÀNH,2801115888-007,,Khu 6 - TT Kim Tân - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG VĨNH LỘC,2801115888-008,,Khu 2 - TT Vĩnh Lộc - - Thành phố Thanh Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG HOẰNG HOÁ,2801115888-009,,TK Vinh Sơn - TT Bút Sơn - - Huyện Hoằng Hoá - Thanh Hoá.
https://masothue.com/2801115888-cong-ty-co-phan-tap-doan-vas-nghi-son,2801115888,"Sản xuất sắt, thép, gang",TRUNG TÂM VIỄN THÔNG HẬU LỘC,2801115888-010,,Khu 1- TT Hậu Lộc - - Huyện Hậu Lộc - Thanh Hoá.
