,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
0,DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,0313939535,"CTCP Đầu tư Thủy điện Miền Trung Việt Nam, CTCP Tấn Phát (OTC: TanPhat)","96,066","210,592"
1,DTG,CTCP Dược phẩm Tipharco,1200100557,,"244,747","203,146"
2,DTH,CTCP Dược Vật tư Y Tế Thanh Hóa,2800231984,Công ty TNHH MTV Dược Thanh Hóa - Hùa Phăn,"533,597","505,216"
3,DTI,CTCP Đầu tư Đức Trung,0301466299,Cty TNHH Hợp tác đầu Tư An Bình Long Xuyên,"6,795","58,184"
4,DTK,Tổng Công ty Điện lực TKV - CTCP,0104297034,"CTCP Than - Điện Nông Sơn - TKV, CTCP Nhiệt điện Quảng Ninh, CTCP Nhiệt điện Hải Phòng, Công ty TNHH Điện Lực Vĩnh Tân 1","12,768,778","13,059,307"
5,DTL,CTCP Đại Thiên Lộc,3700381282,"Công ty TNHH MTV Thép Đại Thiên Lộc, Công ty TNHH MTV Tôn Đại Thiên Lộc","1,982,112","1,380,751"
6,DTP,CTCP Dược phẩm CPC1 Hà Nội,0104089394,,"518,449","576,176"
7,DTT,CTCP Kỹ nghệ Đô Thành,0303 310 875,CTCP Nhựa Đại Thành Long,"157,401","156,745"
8,DTV,CTCP Phát triển Điện Trà Vinh,2100110200,,"519,324","556,681"
9,DUS,CTCP Dịch vụ Đô thị Đà Lạt,5800075878,,"120,386","116,408"
10,DVC,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,0200408318,CTCP Đầu Tư Phát Triển DV Cảng Hải Phòng,"155,919","181,454"
11,DVG,CTCP Tập đoàn Sơn Đại Việt,0500478210,"CTCP Dầu khí Quốc tế Việt Mỹ, CTCP Tập đoàn Hưng Đại Nam","130,285","344,893"
12,DVM,CTCP Dược liệu Việt Nam,0105196582,,"842,716","1,048,920"
13,DVN,Tổng Công ty Dược Việt Nam - CTCP,0100109385,"CTCP Dược phẩm Trung ương Codupha, CTCP Dược phẩm Trung ương CPC1, CTCP Dược Trung ương 3, CTCP Xuất nhập khẩu Y tế Việt Nam, CTCP Sanofi - Synthelabo Việt Nam, CTCP Dược phẩm TW 25, CTCP Dược Danapha, CTCP Dược phẩm Danapha - Nanosome, CTCP Dược phẩm Trung ương 3, CTCP Dược phẩm Imexpharm","5,311,210","4,873,577"
14,DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,0200511481,"Công ty TNHH tiếp vận SITC - Đình Vũ, CTCP Tiếp vận Đình Vũ","518,185","608,576"
15,DVW,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai,3600978879,CTCP Cấp nước Đồng Nai,"47,447","57,636"
16,DWC,CTCP Cấp nước Đắk Lắk,6000175995,,"169,525","178,923"
17,DWS,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,1400101205,Công ty TNHH Nước Đông Bình,"358,925","382,077"
18,DXG,CTCP Tập đoàn Đất Xanh,0303104343,"Công ty TNHH MTV Smart City, Công ty TNHH Charm & CI Việt Nam, Công ty TNHH Đầu tư Bất động sản Hà An Land, Công ty TNHH Phát triển Đô thị Quảng Bình, Công ty TNHH MTV Phát triển Đô thị Quảng Ngãi, Công ty TNHH MTV Smart Property, Công ty TNHH Đầu tư Linkland, CTCP Bất động sản Linkhouse Nghĩa Kỳ, CTCP Đầu tư Kinh doanh Bất Động sản Đông Nam Bộ, CTCP Đầu tư Bất động sản Miền Đông, CTCP Đầu tư Bất động sản Gia Long, CTCP Địa ốc Indochine, CTCP Bất động sản Ecohome, CTCP Đầu tư Bất động sản Tây nam Bộ, CTCP Đầu tư Kinh doanh Bất động sản Hà An, Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Định, CTCP In Nông Nghiệp, CTCP Vicco Sài Gòn, CTCP Đầu tư Đất Viễn Đông, CTCP Sài Gòn Riverview, CTCP Hội An Invest, Công ty TNHH Xây dựng Thương mại Dịch vụ Hà Thuận Hùng, CTCP Đầu tư Dầu khí Thăng Long, CTCP Đầu tư Bất động sản Miền Bắc, CTCP Đầu tư Dầu khí Nha Trang, CTCP Dịch vụ Bất động sản Đất Xanh, CTCP Bất động sản Linkgroup, Công ty TNHH Đầu tư Sài Gòn Riverside, Công ty TNHH Đầu tư Xây dựng Ngọc Lễ, CTCP Dịch vụ Bất động sản Đất xanh Nam Trung bộ, CTCP Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ, CTCP Đầu tư & Dịch vụ Đất Xanh Miền Nam, CTCP Dịch vụ và Địa ốc Đất Xanh Miền Bắc, CTCP Đất Xanh Nam Bộ, CTCP Đầu tư và Dịch vụ Đất Xanh Miền Đông, CTCP Dịch vụ và Đầu tư Đất Xanh Miền Tây, CTCP Đầu tư và Dịch vụ City Real, CTCP Đầu tư và Dịch vụ Saigon Real, CTCP Dịch vụ Tài chính Bất động sản Tulip, CTCP Đất Xanh Premium, CTCP Bất động sản Đất Xanh Plus, CTCP Đất Xanh Miền Trung, CTCP Công nghệ thông tin Bất động sản Việt Nam, CTCP Bất động sản Kết Nối, CTCP Bất động sản Đất Xanh Nam Miền Trung, CTCP Đô thị thông minh Việt Nam, CTCP Hùng Vương, CTCP Dịch vụ và Đầu tư Phát triển Nhà Đông Nam Bộ, CTCP Bất động sản Unihomes, CTCP Dịch vụ và Đầu tư Địa ốc Bình Thuận, CTCP Bất động sản Unihomes Miền Nam, CTCP Bất động sản Unihomes Nam Sài Gòn, CTCP Bất động sản Linkhouse Miền Trung, CTCP Dịch vụ và Đầu tư Bất động sản Kinh Bắc, CTCP Đầu tư Bất động sản Linkhouse, CTCP Bất động sản Linkhouse Tây Nam, CTCP Bất động sản Bắc Miền Tây, CTCP Dịch vụ Quản Lý Tài Sản và Đầu Tư Asahi Japan, CTCP Bất động sản Bắc Bộ, CTCP Dịch vụ và Địa ốc Đất Xanh Duyên Hải, CTCP Phát triển Bất động sản Emerald, CTCP Bất động sản Cần Thơ, CTCP Dịch vụ Bất động sản Nam Miền Tây, CTCP Xây dựng FBV, CTCP Địa ốc Viethomes, CTCP Bất động sản Bắc Trung Bộ, CTCP Công Nghệ Bất động sản Việt Nam, CTCP Công nghệ Cocome","2,890,654","10,089,385"
19,DXL,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn,4900101456,,"18,322","13,893"
20,DXP,CTCP Cảng Đoạn Xá,0200443827,Công ty TNHH Vận tải Hàng công nghệ cao,"107,373","87,067"
21,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,,"Công ty TNHH Phát triển Đô thị Quảng Bình, Công ty TNHH MTV Phát triển Đô thị Quảng Ngãi, Công ty TNHH MTV Smart City, CTCP Bất động sản Link House Nghĩa Kỳ, Công ty TNHH Đầu tư Linkland, Công ty TNHH MTV Smart Property, CTCP Bất động sản Ecohome, CTCP Bất động sản Redvn, CTCP Công nghệ Dịch vụ Môi giới Ohio, CTCP Bất động sản Linkgroup, Công ty TNHH Đầu tư Xây dựng Ngọc Lễ, CTCP Dịch vụ Bất động sản Đất Xanh Nam Trung Bộ, CTCP Dịch vụ và Đầu tư Đất Xanh Đông Nam Bộ, CTCP Đầu tư và Dịch vụ Đất Xanh Miền Nam, CTCP Dịch vụ & Địa ốc Đất Xanh Miền Bắc, CTCP Đất Xanh Nam Bộ, CTCP Dịch vụ và Đầu tư Đất Xanh Miền Tây, CTCP Đầu tư và Dịch vụ Đất Xanh Miền Đông, CTCP Dịch vụ Tài chính Bất động sản Tulip, CTCP Đầu tư và Dịch vụ Sài Gòn Real, CTCP Đầu tư và Dịch vụ City Real, CTCP Đất Xanh Premium, CTCP Đất Xanh Miền Trung, CTCP Bất động sản Đất Xanh Plus, CTCP Bất động sản Unihomes Nam Sài Gòn, CTCP Công nghệ Thông tin Bất động sản Việt Nam, CTCP Đô thị Thông minh Việt Nam, CTCP Bất động sản Link House, CTCP Bất động sản Link House Miền Trung, CTCP Bất động sản Unihomes, CTCP Bất động sản Nam Miền Trung, CTCP Bất động sản Duyên Hải, CTCP Địa ốc Viethomes, CTCP Bất động sản Bắc Trung Bộ, CTCP Bất động sản Bắc Bộ, CTCP Bất động sản Cần Thơ, CTCP Dịch vụ Bất động sản Nam Miền Tây, CTCP Bất động sản Bắc Miền Tây, CTCP Phát triển Nhà Đông Nam Bộ, CTCP Dịch vụ và Đầu tư Địa ốc Bình Thuận, CTCP Địa ốc Indochine, CTCP Dịch vụ và Đầu tư Bất động sản Hùng Vương, CTCP Dịch vụ Quản lý Tài sản và Đầu tư Asahi Japan, CTCP Dịch vụ và Đầu tư Bất động sản Kinh Bắc, CTCP Bất động sản Unihomes Miền Nam, CTCP Bất động sản Link House Tây Nam, CTCP Công nghệ Cocome, CTCP Bất động sản Kết Nối, CTCP Dịch vụ Bất động sản Duyên Hải Miền Tây, CTCP Phát triển Bất động sản Emerald, CTCP Công nghệ Bất động sản Việt Nam","3,249,212","4,328,806"
22,DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,0400101820,"Nhà máy Gạch An Hòa, Xí Nghiệp Gạch Tuynen Lai Nghi, Xí Nghiệp Sản Xuất Vỏ bao xi măng Đà Nẵng","185,753","193,805"
23,DZM,CTCP Cơ điện Dzĩ An,3700363445,"Công ty TNHH MTV Chế Tạo Máy An Tâm, Công ty TNHH Nhà máy Điện Sinh Khối Tonle Bet","189,917","44,504"
24,DL1,CTCP Tập đoàn Alpha Seven,5900437257.0,"Công ty TNHH Điện tử DLG Ansen, CTCP Điện mặt trời DLG Ninh Thuận, CTCP Đầu tư Xây dựng Vạn Gia Long, CTCP BOT&BT Đức Long Đắk Nông","188,611","100,694"
25,DLD,CTCP Du lịch Đắk Lắk,6000177738.0,CTCP Thương Mại Sabeco Tây Nguyên,"36,451","18,902"
