,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
0,TẬP ĐOÀN VINGROUP - CÔNG TY CP,VINGROUP JOINT STOCK COMPANY,VINGROUP,0101245486,"Số 7, Đường Bằng Lăng 1, khu đô thị Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, Việt Nam","NGUYỄN VIỆT QUANG
Ngoài ra NGUYỄN VIỆT QUANG còn đại diện các doanh nghiệp:
CÔNG TY TNHH KINH DOANH VÀ PHÁT TRIỂN ĐÔ THỊ NAM HÀ NỘI
CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC",84 4 3974 9999,2002-05-03,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê
Chi tiết: Kinh doanh bất động sản"
1,CÔNG TY CỔ PHẦN ĐẦU TƯ THẾ GIỚI DI ĐỘNG,MOBILE WORLD INVESTMENT CORPORATION,MWI CORP.,0306731335,"Số 222 Yersin, Phường Phú Cường, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam","TRẦN HUY THANH TÙNG
Ngoài ra TRẦN HUY THANH TÙNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ ĐẦU TƯ BÁCH HÓA XANH",028 38125960,2009-01-16,Cục Thuế Tỉnh Bình Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Hoạt động tư vấn quản lý
(trừ tư vấn kiểm toán, kế toán, dịch vụ làm thủ tục về thuế)"
2,CÔNG TY CỔ PHẦN TẬP ĐOÀN VÀNG BẠC ĐÁ QUÝ DOJI,DOJI GOLD & GEMS GROUP JOINT STOCK COMPANY,"DOJI .,JSC",0100365621,"Tòa nhà DOJI TOWER - số 5 Lê Duẩn, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",ĐỖ MINH ĐỨC,22206688,2007-04-11,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh
- Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức trong các cửa hàng chuyên doanh; - Kinh doanh mua, bán vàng miếng - Bán lẻ đồng hồ trong các cửa hàng chuyên doanh;"
3,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÒA PHÁT,HOA PHAT GROUP JOINT STOCK COMPANY,HOA PHAT GROUP,0900189284,"Khu công nghiệp Phố Nối A, Xã Giai Phạm, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam","NGUYỄN VIỆT THẮNG
Ngoài ra NGUYỄN VIỆT THẮNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN THÉP HOÀ PHÁT HẢI DƯƠNG
CÔNG TY CỔ PHẦN THÉP HOÀ PHÁT HẢI DƯƠNG (NỘP THAY)
CÔNG TY CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP HÒA PHÁT
CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀ PHÁT ( NỘP THAY NHÀ THẦU)
CÔNG TY CỔ PHẦN THÉP HOÀ PHÁT ( NỘP THAY NHÀ THẦU )
CHI NHÁNH PHÚ THỌ - CÔNG TY TNHH MTV THƯƠNG MẠI VÀ SẢN XUẤT THỨC ĂN CHĂN NUÔI HÒA PHÁT
CÔNG TY CỔ PHẦN ĐẦU TƯ NƯỚC NGOÀI HÒA PHÁT
CÔNG TY CỔ PHẦN VẬN TẢI BIỂN HÒA PHÁT (NỘP THAY)
CÔNG TY CỔ PHẦN PHÁT TRIỂN BẤT ĐỘNG SẢN HÒA PHÁT
CÔNG TY CỔ PHẦN GANG THÉP HÒA PHÁT
CÔNG TY CỔ PHẦN TẬP ĐOÀN HÒA PHÁT (NỘP THAY NHÀ THẦU)",Bị ẩn theo yêu cầu người dùng,2001-10-26,Cục Thuế Tỉnh Hưng Yên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Đúc kim loại màu
Chi tiết: Luyện gang thép; đúc gang, sắt, thép; Sản xuất ống thép không mạ và có mạ, ống inox; Luyện và cán nhôm"
4,CÔNG TY CỔ PHẦN TẬP ĐOÀN MASAN,MASAN GROUP CORPORATION,MASAN GROUP,0303576603,"Phòng 802, Tầng 8, Toà Nhà Central Plaza, Số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN ĐĂNG QUANG DANNY LE
Ngoài ra NGUYỄN ĐĂNG QUANG DANNY LE còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN HÀNG TIÊU DÙNG MASAN
CÔNG TY CỔ PHẦN MASAN MEATLIFE",Bị ẩn theo yêu cầu người dùng,2004-11-18,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động tư vấn quản lý
5,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRƯỜNG HẢI,TRUONG HAI GROUP CORPORATION,TRUONG HAI GROUP,3600252847,"Số 19, KCN Biên Hòa 2, đường 2A, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","TRẦN BÁ DƯƠNG
Ngoài ra TRẦN BÁ DƯƠNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH SẢN XUẤT VÀ LẮP RÁP Ô TÔ DU LỊCH TRƯỜNG HẢI - KIA
CÔNG TY TNHH SẢN XUẤT VÀ LẮP RÁP Ô TÔ CAO CẤP THACO
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG KHU CÔNG NGHIỆP VÀ ĐÔ THỊ CHU LAI TRƯỜNG HẢI
CÔNG TY TNHH MTV SẢN XUẤT VÀ LẮP RÁP XE TẢI THACO
CÔNG TY TNHH MTV SẢN XUẤT Ô TÔ THACO - MAZDA
CÔNG TY TNHH MTV SẢN XUẤT XE BUS THACO
CÔNG TY CỔ PHẦN Ô TÔ TRƯỜNG HẢI
CÔNG TY TNHH SẢN XUẤT VÀ LẮP RÁP Ô TÔ CAO CẤP THACO (NỘP HỘ NT)
CTY TNHH SẢN XUẤT & LR Ô TÔ DL TRƯỜNG HẢI - KIA (NỘP HỘ NHÀ THẦU)
CÔNG TY TNHH E-MART VIỆT NAM (NTNN)
CÔNG TY TNHH ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN THƯƠNG MẠI THADICO
CÔNG TY TNHH SẢN XUẤT VÀ LẮP RÁP Ô TÔ DU LỊCH CAO CẤP THACO
CÔNG TY CỔ PHẦN NÔNG NGHIỆP TRƯỜNG HẢI
CÔNG TY TNHH MTV SẢN XUẤT Ô TÔ THACO MAZDA (NỘP THAY NTNN)
CÔNG TY TNHH SẢN XUẤT XE MÔ TÔ THACO
CÔNG TY TNHH GIAO NHẬN VẬN CHUYỂN QUỐC TẾ TRƯỜNG HẢI
CÔNG TY TNHH SẢN XUẤT XE MÔ TÔ THACO (NTNN)
CÔNG TY TRÁCH NHIỆM HỮU HẠN THACO AUTO
CÔNG TY TNHH MTV SẢN XUẤT VÀ LẮP RÁP XE TẢI THACO (NTNN)
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ QUỐC TẾ THISO
CÔNG TY TNHH MTV SẢN XUẤT XE BUS THACO (NỘP THAY NTNN)
CÔNG TY TNHH CƠ KHÍ VÀ CÔNG NGHIỆP HỖ TRỢ TRƯỜNG HẢI
CÔNG TY TNHH SẢN XUẤT VÀ LẮP RÁP Ô TÔ DU LỊCH CAO CẤP THACO (NTNN)
CÔNG TY TNHH THISO RETAIL (NTNN)",02513891726,2007-04-06,Cục Thuế Tỉnh Đồng Nai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn ô tô và xe có động cơ khác
6,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG,VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK,VPBANK,0100233583,"Số 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGÔ CHÍ DŨNG
Ngoài ra NGÔ CHÍ DŨNG còn đại diện các doanh nghiệp:
CTY CỔ PHẦN ĐẦU TƯ TOÀN CẦU
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG- CHI NHÁNH ĐÀ NẴNG - PHÒNG GIAO DỊCH LÊ DUẨN
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH ĐÀ NẴNG- PHÒNG GIAO DỊCH ĐIỆN BIÊN PHỦ
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH THÁI BÌNH - PHÒNG GIAO DỊCH TRẦN PHÚ
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH SÀI GÒN - PHÒNG GIAO DỊCH CHÁNH HƯNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - QUỸ TI
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG GIAO DỊCH LÊ CHÂN
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HẢI PHÒNG - PHÒNG
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH KINH ĐÔ - PHÒNG GIAO DỊCH VĂN QUÁN
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH SÀI GÒN - PHÒNG GIAO DỊCH QUẬN 10
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH THĂNG LONG - PHÒNG GIAO DỊCH VŨ TRỌNG PHỤNG
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH HÀ NỘI -PHÒNG GIAO DỊCH BA ĐÌNH
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG - CHI NHÁNH ĐÀ NẴNG - PHÒNG GIAO DỊCH NGUYỄN TRI PHƯƠNG
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG CHI NHÁNH QUẢNG BÌNH - PHÒNG GIAO DỊCH BỐ TRẠCH
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN VIỆT NAM THỊNH VƯỢNG CHI NHÁNH CẦN THƠ- PHÒNG GIAO DỊCH NINH KIỀU
VPB - KIỂM THỬ HĐĐT KHÔNG MÃ",0439288869,1993-09-08,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động trung gian tiền tệ khác
7,CÔNG TY CỔ PHẦN SỮA VIỆT NAM,VIETNAM DAIRY PRODUCTS JOINT STOCK COMPANY,VINAMILK,0300588569,"10 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","MAI KIỀU LIÊN
Ngoài ra MAI KIỀU LIÊN còn đại diện các doanh nghiệp:
XÍ NGHIỆP KHO VẬN- CÔNG TY CỔ PHẦN SỮA VIỆT NAM
CHI NHÁNH CÔNG TY CỔ PHẦN SỮA VIỆT NAM - NHÀ MÁY SỮA SÀI GÒN
CHI NHÁNH CÔNG TY CỔ PHẦN SỮA VIỆT NAM - PHÒNG KHÁM ĐA KHOA AN KHANG
CHI NHÁNH CÔNG TY CỔ PHẦN SỮA VIỆT NAM- NHÀ MÁY SỮA TRƯỜNG THỌ
KHO NM SỮA BỘT DIELAC",Bị ẩn theo yêu cầu người dùng,2003-11-20,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Chế biến sữa và các sản phẩm từ sữa
8,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN,SAI GON JOINT STOCK COMMERCIAL BANK,SCB,0311449990,"Số 19-21-23-25 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","PHẠM QUANG TIẾN
Ngoài ra PHẠM QUANG TIẾN còn đại diện các doanh nghiệp:
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH BA THÁNG HAI
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN (NT)",Bị ẩn theo yêu cầu người dùng,2011-12-28,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động cấp tín dụng khác
9,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG,THANH CONG GROUP JOINT STOCK COMPANY,"TC GROUP.,JSC",0100831174,"CN1, Khu công nghiệp Nguyên Khê, Xã Nguyên Khê, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam","NGUYỄN ANH TUẤN
Ngoài ra NGUYỄN ANH TUẤN còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG
CÔNG TY CỔ PHẦN THÀNH CÔNG MOTOR VIỆT NAM",02439680949,2008-10-24,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn ô tô và xe có động cơ khác
