,Company,MST,NGANH_NGHE,doanh_thu_2021,tinh
0,TẬP ĐOÀN VINGROUP - CTCP,0101245486,Kinh doanh bất động sản,"125,687,870",Hà Nội
1,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,0306731335,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","122,958,106",Bình Dương
2,CÔNG TY CP TẬP ĐOÀN VÀNG BẠC ĐÁ QUÝ DOJI,0100365621,"Bán lẻ vàng, bạc và kim loại quý khác",,Điện Biên
3,CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,0900189284,"Sản xuất, gia công kim loại, sắt thép, kim khí…","149,679,790",Hưng Yên
4,CÔNG TY CP TẬP ĐOÀN MASAN,0303576603,Dịch vụ khác,,TP Hồ Chí Minh
5,CÔNG TY CP ÔTÔ TRƯỜNG HẢI,3600252847,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Đồng Nai
6,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG,0100233583,Ngân hàng,"34,348,829",Hà Nội
7,CÔNG TY CP SỮA VIỆT NAM,0300588569,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","60,919,165",TP Hồ Chí Minh
8,NGÂN HÀNG TMCP SÀI GÒN,0311449990,Ngân hàng,,TP Hồ Chí Minh
9,CÔNG TY CP TẬP ĐOÀN THÀNH CÔNG,0100831174,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,Hà Nội
10,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM,0100230800,Ngân hàng,"26,698,613",Hà Nội
11,NGÂN HÀNG TMCP SÀI GÒN THƯƠNG TÍN,0301103908,Ngân hàng,"11,964,487",Thanh Hoá
12,CÔNG TY CP TẬP ĐOÀN INTIMEX,0304421306,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,TP Hồ Chí Minh
13,NGÂN HÀNG TMCP Á CHÂU,0301452948,Ngân hàng,"18,944,792",TP Hồ Chí Minh
14,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,1800278630,Ngân hàng,"15,570,349",Hà Nội
15,CÔNG TY CP FPT,0101248141,Hoạt động thông tin khác,"35,657,263",Hà Nội
16,CÔNG TY CP TẬP ĐOÀN HOA SEN,3700381324,"Sản xuất, gia công kim loại, sắt thép, kim khí…","48,726,522",Bình Dương
17,NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,0300608092,Ngân hàng,"13,890,777",TP Hồ Chí Minh
