Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
TẬP ĐOÀN VINGROUP - CTCP,Nguyễn Việt Quang,0101245486,Kinh doanh bất động sản,"110,490,033","125,687,870",Hà Nội
CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,Trần Kinh Doanh,0306731335,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","108,546,020","122,958,106",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN VÀNG BẠC ĐÁ QUÝ DOJI,Đỗ Minh Đức,0100365621,"Bán lẻ vàng, bạc và kim loại quý khác",,,Hà Nội
CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,Nguyễn Việt Thắng,0900189284,"Sản xuất, gia công kim loại, sắt thép, kim khí…","90,118,503","149,679,790",Hưng Yên
CÔNG TY CP TẬP ĐOÀN MASAN,Danny Lê,0303576603,Dịch vụ khác,,,TP Hồ Chí Minh
CÔNG TY CP ÔTÔ TRƯỜNG HẢI,Nguyễn Hùng Minh,3600252847,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG,Nguyễn Đức Vinh,0100233583,Ngân hàng,"32,345,823","34,348,829",Hà Nội
CÔNG TY CP SỮA VIỆT NAM,Mai Kiều Liên,0300588569,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","59,636,286","60,919,165",TP Hồ Chí Minh
NGÂN HÀNG TMCP SÀI GÒN,Hoàng Minh Hoàn,0311449990,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN THÀNH CÔNG,Nguyễn Anh Tuấn,0100831174,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM,Jens Lottner,0100230800,Ngân hàng,"18,751,209","26,698,613",Hà Nội
NGÂN HÀNG TMCP SÀI GÒN THƯƠNG TÍN,Nguyễn Đức Thạch Diễm,0301103908,Ngân hàng,"11,526,554","11,964,487",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN INTIMEX,Đỗ Hà Nam,0304421306,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,TP Hồ Chí Minh
NGÂN HÀNG TMCP Á CHÂU,Đỗ Minh Toàn,0301452948,Ngân hàng,"14,582,123","18,944,792",TP Hồ Chí Minh
NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,Ngô Thu Hà,1800278630,Ngân hàng,"9,933,199","15,570,349",Hà Nội
CÔNG TY CP FPT,Nguyễn Văn Khoa,0101248141,Hoạt động thông tin khác,"29,830,401","35,657,263",Hà Nội
CÔNG TY CP TẬP ĐOÀN HOA SEN,Trần Quốc Trí,3700381324,"Sản xuất, gia công kim loại, sắt thép, kim khí…","27,530,750","48,726,522",TP Hồ Chí Minh
NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,Phạm Quốc Thanh,0300608092,Ngân hàng,"11,897,705","13,890,777",TP Hồ Chí Minh
CÔNG TY CP HÀNG TIÊU DÙNG MASAN (MASAN CONSUMER),Trương Công Thắng,0302017440,"Sản xuất, chế biến và kinh doanh thực phẩm khác","23,342,734","27,773,635",TP Hồ Chí Minh
CÔNG TY CP HÀNG KHÔNG VIETJET,Nguyễn Thị Phương Thảo,0102325399,Vận tải hàng không,"18,220,293","12,874,920",Hà Nội
NGÂN HÀNG TMCP QUỐC TẾ VIỆT NAM,Hàn Ngọc Vũ,0100233488,Ngân hàng,"3,515,891","3,699,595",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN HÒA BÌNH MINH,Bùi Minh Lực,5200896375,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Yên Bái
CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Nguyễn Mạnh Tuấn,0100598873,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
NGÂN HÀNG TMCP BƯU ĐIỆN LIÊN VIỆT,Phạm Doãn Sơn,6300048638,Ngân hàng,"6,720,171","9,017,159",Hà Nội
CÔNG TY CP TẬP ĐOÀN FLC,Hương Trần Kiều Dung,0102683813,Kinh doanh bất động sản,"13,488,401","6,771,892",Hà Nội
CÔNG TY CP TẬP ĐOÀN GELEX,Nguyễn Văn Tuấn,0100100512,"Sản xuất, kinh doanh thiết bị điện","17,948,713","28,578,399",Hà Nội
NGÂN HÀNG TMCP TIÊN PHONG,Nguyễn Hưng,0102744865,Ngân hàng,"7,619,057","9,946,049",Hà Nội
CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,Kalidas Ghose,0102180545,Dịch vụ tài chính khác,,,TP Hồ Chí Minh
CÔNG TY CP STAVIAN HÓA CHẤT,Nguyễn Minh Tú,0104160054,"Sản xuất, kinh doanh nhựa và sản phẩm từ nhựa",,,Hà Nội
CÔNG TY CP VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN,Lê Trí Thông,0300521758,"Bán lẻ vàng, bạc và kim loại quý khác","17,510,789","19,547,058",TP Hồ Chí Minh
CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM,Lê Tánh,0102182292,Viễn thông,,,Hà Nội
CÔNG TY CP MASAN MEATLIFE,Phạm Trung Lâm,0311224517,Dịch vụ khác,"16,119,005","18,890,888",TP Hồ Chí Minh
CÔNG TY CP TẬP ĐOÀN THÉP NGUYỄN MINH,Nguyễn Minh Huy,1101359647,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Long An
CÔNG TY CP TẬP ĐOÀN VAS NGHI SƠN,Nguyễn Bảo Giang,2801115888,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Thanh Hoá
CÔNG TY CP DỊCH VỤ TỔNG HỢP SÀI GÒN,Phan Dương Cửu Long,0301154821,Kinh doanh bất động sản,,,TP Hồ Chí Minh
CÔNG TY CP ĐẦU TƯ THƯƠNG MẠI SMC,Nguyễn Thị Ngọc Loan,0303522206,"Kinh doanh kim loại, sắt thép, kim khí…","15,734,958","21,315,015",TP Hồ Chí Minh
CÔNG TY CP THÀNH THÀNH CÔNG - BIÊN HÒA,Ông Nguyễn Thanh Ngữ,3900244389,"Sản xuất, chế biến và kinh doanh đường","14,924,868","18,325,361",Tây Ninh
CÔNG TY CP HYUNDAI THÀNH CÔNG VIỆT NAM,Trần Hữu Phú,2700668614,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
CÔNG TY CP DƯỢC LIỆU TRUNG ƯƠNG 2,Nguyễn Công Chiến,0302597576,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,TP Hồ Chí Minh
CÔNG TY CP BÁN LẺ KỸ THUẬT SỐ FPT,Hoàng Trung Kiên,0311609355,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","14,661,417","22,494,961",TP Hồ Chí Minh
CÔNG TY CP XÂY DỰNG COTECCONS,N.A,0303443233,Xây dựng,"14,558,086","9,077,915",TP Hồ Chí Minh
CÔNG TY TNHH HẢI LINH,Lê Văn Tám,2600261303,Kinh doanh xăng dầu và các sản phẩm liên quan,,,Phú Thọ
CÔNG TY CP TẬP ĐOÀN THỦY SẢN MINH PHÚ,Lê Văn Quang,2000393273,"Sản xuất, chế biến và kinh doanh thực phẩm tươi sống, đông lạnh","14,329,350","13,577,505",Cà Mau
NGÂN HÀNG TMCP PHƯƠNG ĐÔNG,Nguyễn Đình Tùng,0300852005,Ngân hàng,"1,670,025","1,701,758",TP Hồ Chí Minh
TỔNG CÔNG TY CP DỊCH VỤ TỔNG HỢP DẦU KHÍ,Vũ Tiến Dương,0300452060,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","13,453,249","17,598,238",TP Hồ Chí Minh
