Mã số thuế,Mã chứng khoán,Ten cong ty,CEO,Nganh nghe,Doanh thu 2020,Doanh thu 2021,Tinh
0100686174,Chưa niêm yết,NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM,Tiết Văn Thành,Ngân hàng,,,Hà Nội
0101245486,VIC,TẬP ĐOÀN VINGROUP - CTCP,Nguyễn Việt Quang,Kinh doanh bất động sản,"110,490,033","125,687,870",Hà Nội
0100109106,Chưa niêm yết,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Tào Đức Thắng,Viễn thông,"113,026","136,096",Hà Nội
0100150619,BID,NGÂN HÀNG TMCP ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM,Lê Ngọc Lâm,Ngân hàng,"117,452,648","120,523,066",Hà Nội
0100107370,PLX,TẬP ĐOÀN XĂNG DẦU VIỆT NAM,Phạm Đức Thắng,Kinh doanh xăng dầu và các sản phẩm liên quan,"123,918,650","169,008,605",Hà Nội
0100100079,Chưa niêm yết,TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM,Trần Đình Nhân,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
0100681592,Chưa niêm yết,TẬP ĐOÀN DẦU KHÍ VIỆT NAM,Lê Mạnh Hùng,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,,Hà Nội
4601124536,Chưa niêm yết,CÔNG TY TNHH SAMSUNG ELECTRONICS VIỆT NAM THÁI NGUYÊN,Kim Dongwook,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,Thái Nguyên
0900189284,HPG,CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,Nguyễn Việt Thắng,"Sản xuất, gia công kim loại, sắt thép, kim khí…","90,118,503","149,679,790",Hưng Yên
0100112437,VCB,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,Phạm Quang Dũng,Ngân hàng,"36,285,475","42,399,617",Hà Nội
0100365621,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN VÀNG BẠC ĐÁ QUÝ DOJI,Đỗ Minh Đức,"Bán lẻ vàng, bạc và kim loại quý khác",,,Hà Nội
0100111948,CTG,NGÂN HÀNG TMCP CÔNG THƯƠNG VIỆT NAM,Trần Minh Bình,Ngân hàng,"35,580,829","41,788,465",Hà Nội
0306731335,MWG,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,Trần Kinh Doanh,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin","108,546,020","122,958,106",TP Hồ Chí Minh
0303576603,MSN,CÔNG TY CP TẬP ĐOÀN MASAN,Danny Lê,Dịch vụ khác,"78,868,319","89,791,619",TP Hồ Chí Minh
3600224423,Chưa niêm yết,CÔNG TY CP CHĂN NUÔI C.P. VIỆT NAM,Montri Suwanposri,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
5700100256,Chưa niêm yết,TẬP ĐOÀN CÔNG NGHIỆP THAN - KHOÁNG SẢN VIỆT NAM,Đặng Thanh Hải,"Khai thác, kinh doanh than và hoạt động hỗ trợ",,,Hà Nội
0100684378,Chưa niêm yết,TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM,Huỳnh Quang Liêm,Viễn thông,,,Hà Nội
0100111761,BVH,TẬP ĐOÀN BẢO VIỆT,Nguyễn Quang Phi,Bảo hiểm,"34,524,044","36,827,962",Hà Nội
3500102710,GAS,TỔNG CÔNG TY KHÍ VIỆT NAM - CTCP,Hoàng Văn Quang,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","64,134,965","78,992,156",TP Hồ Chí Minh
3600252847,THA,CÔNG TY CP ÔTÔ TRƯỜNG HẢI,Nguyễn Hùng Minh,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,TP Hồ Chí Minh
0100233583,VPB,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG,Nguyễn Đức Vinh,Ngân hàng,"32,345,823","34,348,829",Hà Nội
0300588569,VNM,CÔNG TY CP SỮA VIỆT NAM,Mai Kiều Liên,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa","59,636,286","60,919,165",TP Hồ Chí Minh
0311449990,SCB,NGÂN HÀNG TMCP SÀI GÒN,Hoàng Minh Hoàn,Ngân hàng,"47,208,016",,TP Hồ Chí Minh
0106869738,Chưa niêm yết,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Nguyễn Trường Giang,Viễn thông,,,Hà Nội
0100831174,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN THÀNH CÔNG,Nguyễn Anh Tuấn,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
0301103908,STB,NGÂN HÀNG TMCP SÀI GÒN THƯƠNG TÍN,Nguyễn Đức Thạch Diễm,Ngân hàng,"11,526,554","11,964,487",TP Hồ Chí Minh
0100230800,TCB,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM,Jens Lottner,Ngân hàng,"18,751,209","26,698,613",Hà Nội
0100107518,HVN,TỔNG CÔNG TY HÀNG KHÔNG VIỆT NAM - CTCP,Lê Hồng Hà,Vận tải hàng không,"40,538,339","27,911,340",Hà Nội
0100283873,MBB,NGÂN HÀNG TMCP QUÂN ĐỘI,Lưu Trung Thái,Ngân hàng,"20,277,795","26,199,554",Hà Nội
3502208399,PGV,TỔNG CÔNG TY PHÁT ĐIỆN 3 - CTCP,Lê Văn Danh,"Sản xuất, truyền tải, phân phối điện","40,367,208","37,757,424",TP Hồ Chí Minh
5701662152,Chưa niêm yết,TỔNG CÔNG TY PHÁT ĐIỆN 1,Nguyễn Khắc Sơn,"Sản xuất, truyền tải, phân phối điện",,,Hà Nội
0304421306,Chưa niêm yết,CÔNG TY CP TẬP ĐOÀN INTIMEX,Đỗ Hà Nam,"Sản xuất, chế biến và kinh doanh thực phẩm khác",,,TP Hồ Chí Minh
0304295429,Chưa niêm yết,CÔNG TY TNHH INTEL PRODUCTS VIỆT NAM,Ooi Kim Huat,"Sản xuất, kinh doanh thiết bị điện tử, điện lạnh, công nghệ thông tin, viễn thông…",,,TP Hồ Chí Minh
0102641429,Chưa niêm yết,TỔNG CÔNG TY BẢO VIỆT NHÂN THỌ,Phạm Ngọc Sơn,Bảo hiểm,,,Hà Nội
0301452948,ACB,NGÂN HÀNG TMCP Á CHÂU,Đỗ Minh Toàn,Ngân hàng,"14,582,123","18,944,792",TP Hồ Chí Minh
0301840443,Chưa niêm yết,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ PRUDENTIAL VIỆT NAM,Phương Tiến Minh,Bảo hiểm,,,TP Hồ Chí Minh
0301175691,Chưa niêm yết,LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH (CO.OP MART),Nguyễn Anh Đức,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
0300762150,Chưa niêm yết,CÔNG TY TNHH QUỐC TẾ UNILEVER VIỆT NAM,JV Raman,"Sản xuất, kinh doanh hóa mỹ phẩm",,,TP Hồ Chí Minh
1800278630,SHB,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,Ngô Thu Hà,Ngân hàng,"9,933,199","15,570,349",Hà Nội
0300583659,SAB,TỔNG CÔNG TY CP BIA RƯỢU NƯỚC GIẢI KHÁT SÀI GÒN,Neo Gim Siong Bennett,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","27,961,324","26,373,746",TP Hồ Chí Minh
0101248141,FPT,CÔNG TY CP FPT,Nguyễn Văn Khoa,Hoạt động thông tin khác,"29,830,401","35,657,263",Hà Nội
0100686209,Chưa niêm yết,TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,Tô Mạnh Cường,Viễn thông,,,Hà Nội
0100106320,Chưa niêm yết,TỔNG CÔNG TY XI MĂNG VIỆT NAM,Bùi Hồng Minh,"Sản xuất, kinh doanh vật liệu xây dựng",,,Hà Nội
0100100047,Chưa niêm yết,TỔNG CÔNG TY THÉP VIỆT NAM - CTCP,Nguyễn Đình Phúc,"Kinh doanh kim loại, sắt thép, kim khí…","31,291,145","40,572,198",Hà Nội
3500102414,Chưa niêm yết,LIÊN DOANH VIỆT - NGA VIETSOVPETRO,Nguyễn Quỳnh Lâm,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ",,,Bà Rịa - Vũng Tàu
0300608092,HDB,NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,Phạm Quốc Thanh,Ngân hàng,"11,897,705","13,890,777",TP Hồ Chí Minh
3700381324,HSG,CÔNG TY CP TẬP ĐOÀN HOA SEN,Trần Quốc Trí,"Sản xuất, gia công kim loại, sắt thép, kim khí…","27,530,750","48,726,522",TP Hồ Chí Minh
0301045759,Chưa niêm yết,CÔNG TY TNHH MTV VÀNG BẠC ĐÁ QUÝ SÀI GÒN - SJC,Lê Thúy Hằng,"Bán lẻ vàng, bạc và kim loại quý khác",,,TP Hồ Chí Minh
0102276173,POW,TỔNG CÔNG TY ĐIỆN LỰC DẦU KHÍ VIỆT NAM - CTCP,Nguyễn Xuân Hòa,"Sản xuất, truyền tải, phân phối điện","29,731,734","24,560,949",Hà Nội
1800590430,GE2,TỔNG CÔNG TY PHÁT ĐIỆN 2 - CTCP,Ngô Việt Hải,"Sản xuất, truyền tải, phân phối điện","26,001,102","9,940,645",Cần Thơ
0302017440,MCH,CÔNG TY CP HÀNG TIÊU DÙNG MASAN (MASAN CONSUMER),Trương Công Thắng,"Sản xuất, chế biến và kinh doanh thực phẩm khác","23,342,734","27,773,635",TP Hồ Chí Minh
0301266564,GVR,TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM - CTCP,Huỳnh Văn Bảo,"Sản xuất, kinh doanh cao su và sản phẩm từ cao su","4,893,496","5,558,860",TP Hồ Chí Minh
0300514849,Chưa niêm yết,CÔNG TY TNHH MTV TỔNG CÔNG TY TÂN CẢNG SÀI GÒN,Ngô Minh Thuấn,"Kho bãi, bốc xếp hàng hóa",,,TP Hồ Chí Minh
0102409426,VGI,TỔNG CÔNG TY CP ĐẦU TƯ QUỐC TẾ VIETTEL,Nguyễn Duy Thọ,Viễn thông,"5,436,579","5,850,500",Hà Nội
0100598873,Chưa niêm yết,CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Nguyễn Mạnh Tuấn,"Sản xuất, gia công kim loại, sắt thép, kim khí…",,,Hà Nội
0100915699,Chưa niêm yết,CÔNG TY TNHH ZUELLIG PHARMA VIỆT NAM,Charles Antoine Gloor,"Kinh doanh, phân phối dược phẩm, thiết bị y tế",,,Hà Nội
0102325399,VJC,CÔNG TY CP HÀNG KHÔNG VIETJET,Nguyễn Thị Phương Thảo,Vận tải hàng không,"18,220,293","12,874,920",Hà Nội
0100150577,PVS,TỔNG CÔNG TY CP DỊCH VỤ KỸ THUẬT DẦU KHÍ VIỆT NAM,Lê Mạnh Cường,"Thăm dò, khai thác dầu mỏ và hoạt động hỗ trợ","3,769,373","3,811,176",TP Hồ Chí Minh
