1,TẬP ĐOÀN VINGROUP - CTCP,Nguyễn Việt Quang,0101245486,Kinh doanh bất động sản
2,CÔNG TY CP ĐẦU TƯ THẾ GIỚI DI ĐỘNG,Trần Kinh Doanh,0306731335,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin"
3,CÔNG TY CP TẬP ĐOÀN VÀNG BẠC ĐÁ QUÝ DOJI,Đỗ Minh Đức,0100365621,"Bán lẻ vàng, bạc và kim loại quý khác"
4,CÔNG TY CP TẬP ĐOÀN HÒA PHÁT,Nguyễn Việt Thắng,0900189284,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
5,CÔNG TY CP TẬP ĐOÀN MASAN,Danny Lê,0303576603,Dịch vụ khác
6,CÔNG TY CP ÔTÔ TRƯỜNG HẢI,Nguyễn Hùng Minh,3600252847,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
7,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG,Nguyễn Đức Vinh,0100233583,Ngân hàng
8,CÔNG TY CP SỮA VIỆT NAM,Mai Kiều Liên,0300588569,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa"
9,NGÂN HÀNG TMCP SÀI GÒN,Hoàng Minh Hoàn,0311449990,Ngân hàng
10,CÔNG TY CP TẬP ĐOÀN THÀNH CÔNG,Nguyễn Anh Tuấn,0100831174,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
11,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM,Jens Lottner,0100230800,Ngân hàng
12,NGÂN HÀNG TMCP SÀI GÒN THƯƠNG TÍN,Nguyễn Đức Thạch Diễm,0301103908,Ngân hàng
13,CÔNG TY CP TẬP ĐOÀN INTIMEX,Đỗ Hà Nam,0304421306,"Sản xuất, chế biến và kinh doanh thực phẩm khác"
14,NGÂN HÀNG TMCP Á CHÂU,Đỗ Minh Toàn,0301452948,Ngân hàng
15,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI,Ngô Thu Hà,1800278630,Ngân hàng
16,CÔNG TY CP FPT,Nguyễn Văn Khoa,0101248141,Hoạt động thông tin khác
17,CÔNG TY CP TẬP ĐOÀN HOA SEN,Trần Quốc Trí,3700381324,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
18,NGÂN HÀNG TMCP PHÁT TRIỂN TP. HỒ CHÍ MINH,Phạm Quốc Thanh,0300608092,Ngân hàng
19,CÔNG TY CP HÀNG TIÊU DÙNG MASAN (MASAN CONSUMER),Trương Công Thắng,0302017440,"Sản xuất, chế biến và kinh doanh thực phẩm khác"
20,CÔNG TY CP HÀNG KHÔNG VIETJET,Nguyễn Thị Phương Thảo,0102325399,Vận tải hàng không
21,NGÂN HÀNG TMCP QUỐC TẾ VIỆT NAM,Hàn Ngọc Vũ,0100233488,Ngân hàng
22,CÔNG TY CP TẬP ĐOÀN HÒA BÌNH MINH,Bùi Minh Lực,5200896375,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện"
23,CÔNG TY TNHH ỐNG THÉP HÒA PHÁT,Nguyễn Mạnh Tuấn,0100598873,"Sản xuất, gia công kim loại, sắt thép, kim khí…"
24,NGÂN HÀNG TMCP BƯU ĐIỆN LIÊN VIỆT,Phạm Doãn Sơn,6300048638,Ngân hàng
25,CÔNG TY CP TẬP ĐOÀN FLC,Hương Trần Kiều Dung,0102683813,Kinh doanh bất động sản
26,CÔNG TY CP TẬP ĐOÀN GELEX,Nguyễn Văn Tuấn,0100100512,"Sản xuất, kinh doanh thiết bị điện"
27,NGÂN HÀNG TMCP TIÊN PHONG,Nguyễn Hưng,0102744865,Ngân hàng
28,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,Kalidas Ghose,0102180545,Dịch vụ tài chính khác
